"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
90682,"Riyan Parag","R Parag","Riyan Parag","","","2001-11-10","Guwahati, Assam","in","[]","","all","Right Hand Bat","Right Arm Leg Spin","",23805,1516323600,9,"","https://www.facebook.com/IamRiyanParag/","https://twitter.com/ParagRiyan","https://www.instagram.com/riyanhparag/","","","India"
90408,"Ishan Porel","IC Porel","Ishan Porel","","","1998-09-05"," Hooghly, Bengal","in","[]","","bowl","Right Hand Bat","Right Arm Medium","",23792,1515891600,7.5,"","https://www.facebook.com/IshanPorelOfficial/","https://twitter.com/ishan_ip55","https://www.instagram.com/ishanporel/","","","India"
93496,"Aryan Juyal","A Juyal","Aryan Juyal","","","2001-11-11","Moradabad, Uttar Pradesh","in","[]","","wk","Right Hand Bat","","",23792,1515891600,7,"","","https://twitter.com/i/flow/login?redirect_after_login=%2Faryanjuyal11","https://www.instagram.com/aryanjuyalfc/","","","India"
93498,"Manjot Kalra","M Kalra","Manjot Kalra","","","1999-01-15","","in","[]","","bat","Left hand Bat","Left Arm Orthodox","",23792,1515891600,8.5,"","","","","","","India"
93500,"Shivam Mavi","SP Mavi","Shivam Mavi","","","1998-11-26"," Noida, Uttar Pradesh","in","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23792,1515891600,9,"","","https://twitter.com/i/flow/login?redirect_after_login=%2Fshivammavi23%3Flang%3Den","https://www.instagram.com/shivam_mavi/","","","India"
93501,"Shiva Singh","S Singh","Shiva Singh","","","1999-10-16","Maradabad","in","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",23792,1515891600,7,"","https://www.facebook.com/shivasinghu19/","","https://www.instagram.com/officialshivasingh/","","","India"
48494,"Himanshu Rana","HJ Rana","Himanshu Rana","","","1998-10-01","","in","[]","","bat","Right Hand Bat","Right Arm Medium","",23792,1515891600,7,"","","","https://www.instagram.com/himanshurana20/","","","India"
90736,"Kamlesh Nagarkoti","KL Nagarkoti","Kamlesh Nagarkoti","","","1999-12-28"," Barmer, Rajasthan","in","[]","","bowl","Right Hand Bat","Right Arm Fast","",23792,1515891600,8,"","https://www.facebook.com/KamleshNagarkotii/","","https://www.instagram.com/kl_nagarkoti_5_/","","","India"
90738,"Abhishek Sharma","Abhishek Sharma","Abhishek Sharma","","","2000-09-04","Amritsar, Punjab","in","[]","","all","Left hand Bat","Left Arm Orthodox","",23792,1515891600,9,"","https://www.facebook.com/CircleofCricket.AbhishekSharma","https://twitter.com/IamAbhiSharma4","https://www.instagram.com/abhisheksharma_4/","","","India"
131,"Mohammed Shami","M Shami","Mohammed Shami","","","1990-09-03"," Amroha, Uttar Pradesh","in","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",36236,1515141000,7.5,"Mohammed Shami","","","","","","India"
