"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
356,"Mominul Haque","M Haque","Mominul Haque","","","1991-09-29","Cox's Bazar","bd","[]","","bat","Left hand Bat","Left Arm Orthodox","",37642,1517369400,8,"Mominul Haque","https://www.facebook.com/Official.Mominul.Haque/","https://twitter.com/iammominulh","https://www.instagram.com/mominul68/","","","Bangladesh"
400,"Taijul Islam","T Islam","Taijul Islam","","","1992-02-07","Natore","bd","[]","","bowl","Left hand Bat","Left Arm Orthodox","",37642,1517369400,8,"Taijul Islam","https://www.facebook.com/Taijul.Official.BD/","https://twitter.com/Taijul_12","","","","Bangladesh"
93470,"Mohammad Rakib","M Rakib","Mohammad Rakib","","","1999-08-02","","bd","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",23833,1517088600,8,"","","","","","","Bangladesh"
37358,"Abul Hasan","MA Hasan","Abul Hasan","","","1992-08-05","Kulaura, Sylhet","bd","[]","","bowl","Left hand Bat","Right Arm Medium Fast","",37641,1516860000,7,"Abul Hasan","","","https://www.instagram.com/iabulhasan/","","","Bangladesh"
1021,"Mohammad Saifuddin","M Saifuddin","Mohammad Saifuddin","","","1996-11-01","Feni, Chattogram","bd","[]","","all","Left hand Bat","Right Arm Medium Fast","",37640,1516341600,8.5,"Mohammad Mohammad Saifuddin","","","","","","Bangladesh"
354,"Mashrafe Mortaza","M Mortaza","Mashrafe Mortaza","","","1983-10-05","","bd","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",37636,1515996000,8.5,"","","","","","","Bangladesh"
398,"Nasir Hossain","MN Hossain","Nasir Hossain","","","1991-11-30","Rangpur","bd","[]","","all","Right Hand Bat","Right Arm Off Break","",37636,1515996000,8.5,"Nasir Hossain","https://www.facebook.com/tamimasultanatammib/","","https://www.instagram.com/nasirhossainnh69/","","","Bangladesh"
93469,"Aminul Islam","A Islam","Aminul Islam","","","1999-11-06","Shariatpur","bd","[]","","all","Right Hand Bat","Right Arm Leg Spin","",23790,1515792600,8.5,"","","","","","","Bangladesh"
52893,"Qazi Onik","Qazi Onik","Qazi Onik","","","1999-03-18","","bd","[]","","bowl","Left hand Bat","Left Arm Medium Fast","",23790,1515792600,8,"","","","","","","Bangladesh"
90539,"Afif Hossain","AH Dhrubo","Afif Hossain","","","1999-09-22","Khulna","bd","[]","","all","Left hand Bat","Right Arm Off Break","",23790,1515792600,7.5,"Afif Hossain","https://www.facebook.com/Official.ahd18/","https://twitter.com/AhD18Official","https://www.instagram.com/afif_hossain_dhrubo/","","","Bangladesh"
48591,"Hasan Mahmud","H Mahmud","Hasan Mahmud","","","1999-10-12","Laxmipur","bd","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23790,1515792600,7,"Hasan Mahmud","https://www.facebook.com/hasanmahmud91/","","https://www.instagram.com/officialhasan91/","","","Bangladesh"
90620,"Nayeem Hasan","Nayeem Hasan","Nayeem Hasan","","","2000-12-02","Chattogram","bd","[]","","bowl","Right Hand Bat","Right Arm Off Break","",23790,1515792600,5,"Nayeem Hasan","","","","","","Bangladesh"
131328,"Bilal Hossain","B Hossain","Bilal Hossain","","","","","bd","[]","","bowl","","","",0,0,7,"","","","","","","Bangladesh"
1024,"Saleh Ahmed Shawon","SA Shawon","Saleh Ahmed Shawon","","","1997-07-21","","bd","[]","","bat","Right Hand Bat","Left Arm Orthodox","",0,0,8,"","","","","","","Bangladesh"
90880,"Sadmim Rahman","Sadmim Rahman","Sadmim Rahman","","","1999-08-21","","bd","[]","","bat","","","",0,0,8.5,"","","","","","","Bangladesh"
93696,"Digvijay Rangi","DS Rangi","Digvijay Rangi","","","","","bd","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,9,"","","","","","","Bangladesh"
124928,"Shihab Pahar Sabbir","SP Sabbir","Shihab Pahar Sabbir","","","","","bd","[]","","bowl","","","",0,0,5.5,"","","","","","","Bangladesh"
63232,"Main Uddin","Mainuddin Firaz","Main Uddin","","","2002-12-01","","bd","[]","","bat","Left hand Bat","Left Arm Orthodox","",0,0,8.5,"","","","","","","Bangladesh"
63744,"Fahim Shahriar","Fahim Shahriar","Fahim Shahriar","","","1998-12-12","","bd","[]","","bat","Left hand Bat","","",0,0,8.5,"","","","","","","Bangladesh"
131329,"Moazzem Hossain","M Hossain","Moazzem Hossain","","","","","bd","[]","","bowl","","","",0,0,7,"","","","","","","Bangladesh"
90881,"Shakinul Siraj","Shakinul Siraj","Shakinul Siraj","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
93697,"Mohammad Ishak","M Ishak","Mohammad Ishak","","","","","bd","[]","","bat","","","",0,0,8.5,"","","","","","","Bangladesh"
63233,"Kazi Fakrul Alam","Kazi Fakrul","Kazi Fakrul Alam","","","2001-10-02","","bd","[]","","bat","Right Hand Bat","Right Arm Fast","",0,0,8.5,"","","","","","","Bangladesh"
130817,"Tuhin Islam","T Islam","Tuhin Islam","","","","","bd","[]","","bowl","","","",0,0,7,"","","","","","","Bangladesh"
131330,"Kolon Nath","K Nath","Kolon Nath","","","","","bd","[]","","bowl","","","",0,0,6,"","","","","","","Bangladesh"
90882,"Moinul Hossain Riad","Moinul Hossain","Moinul Hossain Riad","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
55298,"Uttam Sarkar","Uttam Sarkar","Uttam Sarkar","","","1986-11-11","","bd","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Bangladesh"
63234,"Shakawat Hossain","Shakawat Hossain","Shakawat Hossain","","","2002-05-15","","bd","[]","","bowl","Left hand Bat","Left Arm Fast","",0,0,8,"","","","","","","Bangladesh"
63746,"Nahid Hossain","Nahid Hossain","Nahid Hossain","","","1998-10-05","","bd","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8.5,"","","","","","","Bangladesh"
129282,"Arshad Hosen","A Hosen","Arshad Hosen","","","","","bd","[]","","all","","","",0,0,6.5,"","","","","","","Bangladesh"
130818,"Belaul Emon","B Emon","Belaul Emon","","","","","bd","[]","","bowl","","","",0,0,7,"","","","","","","Bangladesh"
131331,"Saiful Hira","S Hira","Saiful Hira","","","","","bd","[]","","bowl","","","",0,0,6,"","","","","","","Bangladesh"
90883,"Shaiful Islam","Shaiful Islam","Shaiful Islam","","","1983-01-02","","bd","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Bangladesh"
55299,"Taposh Ghosh","Taposh Ghosh","Taposh Ghosh","","","1991-08-11","","bd","[]","","bat","Left hand Bat","Left Arm Orthodox","",0,0,8.5,"","","","","","","Bangladesh"
63235,"Mehidi Hasan","Mehidi Hasan","Mehidi Hasan","","","2002-10-14","","bd","[]","","bat","Left hand Bat","","",0,0,7.5,"","","","","","","Bangladesh"
129283,"Masud Sheikh","M Sheikh","Masud Sheikh","","","","","bd","[]","","bowl","","","",0,0,5,"","","","","","","Bangladesh"
130819,"Milton Manik","M Manik","Milton Manik","","","","","bd","[]","","bowl","","","",0,0,6.5,"","","","","","","Bangladesh"
131332,"Sojib Islam","S Islam","Sojib Islam","","","","","bd","[]","","bowl","","","",0,0,6,"","","","","","","Bangladesh"
90884,"Raafi Reza","Raafi Reza","Raafi Reza","","","1999-04-15","","bd","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Bangladesh"
91140,"Aftab Ahmed","Aftab Ahmed","Aftab Ahmed","","","1985-11-10","","bd","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8.5,"","","","","","","Bangladesh"
94980,"Humayan Ahmed","Humayan Ahmed","Humayan Ahmed","","","","","bd","[]","","bat","","","",0,0,7.5,"","","","","","","Bangladesh"
37380,"Al Amin","Al Amin","Al Amin","","","1972-09-06","","bd","[]","","bat","Right Hand Bat","Right Arm Medium Fast","",0,0,8,"","","","","","","Bangladesh"
63748,"Zahidul Islam","Zahidul Islam","Zahidul Islam","","","2001-12-01","","bd","[]","","bat","Left hand Bat","Left Arm Orthodox","",0,0,8.5,"","","","","","","Bangladesh"
129284,"Akhil Vijayan","A Vijayan","Akhil Vijayan","","","","","bd","[]","","bowl","","","",0,0,7,"","","","","","","Bangladesh"
130820,"Nazmul Raju","N Raju","Nazmul Raju","","","","","bd","[]","","bowl","","","",0,0,6,"","","","","","","Bangladesh"
131333,"Ibrar Saleem","I Saleem","Ibrar Saleem","","","","","bd","[]","","bowl","","","",0,0,5.5,"","","","","","","Bangladesh"
90885,"Mahmudul Hasan","Mahmudul Hasan","Mahmudul Hasan","","","1994-10-22","","bd","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,8.5,"","","","","","","Bangladesh"
94213,"Ifran Hossain","Ifran Hossain","Ifran Hossain","","","1996-04-04","","bd","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,8.5,"","","","","","","Bangladesh"
63749,"Wahedul Islam","Wahedul Islam","Wahedul Islam","","","1998-12-25","","bd","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Bangladesh"
129285,"Razu Ahmed","R Ahmed","Razu Ahmed","","","","","bd","[]","","bowl","","","",0,0,5.5,"","","","","","","Bangladesh"
131334,"Ronabir Sagor","R Sagor","Ronabir Sagor","","","","","bd","[]","","bowl","","","",0,0,5.5,"","","","","","","Bangladesh"
94214,"Mahmudul Hasan Joy","MH Joy","Mahmudul Hasan Joy","","","2000-11-13","Faridganj","bd","[]","","bat","Right Hand Bat","","",0,0,7,"Mahmudul Hasan Joy","https://www.facebook.com/Mahmudul.Joy.Official/","https://twitter.com/Mahmudul_joy_71","https://www.instagram.com/mahmudul_joy_71/","","","Bangladesh"
37382,"Muktar Ali","Muktar Ali","Muktar Ali","","","1989-10-10","","bd","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,6,"","https://www.facebook.com/MuktarOfficial/","","","","","Bangladesh"
63750,"Mirajul Islam","Mirajul Islam","Mirajul Islam","","","2002-05-21","","bd","[]","","bat","","Left Arm Orthodox","",0,0,8.5,"","","","","","","Bangladesh"
129286,"Rashid Bhuiyan","R Bhuiyan","Rashid Bhuiyan","","","","","bd","[]","","bowl","","","",0,0,6,"","","","","","","Bangladesh"
131335,"Shajahan Arif","S Arif","Shajahan Arif","","","","","bd","[]","","bowl","","","",0,0,4,"","","","","","","Bangladesh"
59911,"Riazul Islam","Riazul Islam","Riazul Islam","","","","","bd","[]","","bat","","","",0,0,8.5,"","","","","","","Bangladesh"
63751,"Naimul Islam","Naimul Islam","Naimul Islam","","","2000-09-03","","bd","[]","","bat","","Left Arm Orthodox","",0,0,8,"","","","","","","Bangladesh"
92936,"Sabuj Barman","Sj Barman","Sabuj Barman","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
93704,"Ruhel Ahmed","R Ahmed","Ruhel Ahmed","","","","","bd","[]","","bat","","","",0,0,7.5,"","","","","","","Bangladesh"
37384,"Saqlain Sajib","Saqlain Sajib","Saqlain Sajib","","","1988-12-01","","bd","[]","","bowl","Left hand Bat","Left Arm Orthodox","",0,0,8.5,"","","","","","","Bangladesh"
55304,"Arman Hossain","Arman Hossain","Arman Hossain","","","","","bd","[]","","bat","","","",0,0,8.5,"","","","","","","Bangladesh"
59912,"Rakib Gomosta","Rakib Gomosta","Rakib Gomosta","","","1988-02-05","","bd","[]","","bat","Left hand Bat","","",0,0,8,"","","","","","","Bangladesh"
63752,"Shoriful Islam","S Islam","Shoriful Islam","","","2001-06-03","Panchagarh, Rangpur","bd","[]","","bowl","Left hand Bat","Left Arm Medium Fast","",0,0,8,"Shoriful Islam","https://m.facebook.com/OfficialShoriful47/","https://twitter.com/Shoriful_47","","","","Bangladesh"
37385,"Abu Jayed","Abu Jayed","Abu Jayed","","","1993-08-02","","bd","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",0,0,8,"","","","","","","Bangladesh"
59913,"Niaz Morshed","Niaz Morshed","Niaz Morshed","","","1976-11-30","","bd","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Bangladesh"
133898,"Zunaed Siddique","","Zunaed Siddique","","","1987-10-30"," Rajshahi","bd","[]","","bat","Left hand Bat","Right Arm Off Break","",0,0,7.5,"","","","","","","Bangladesh"
87306,"Wahidul Alam","Wahidul Alam","Wahidul Alam","","","1992-05-07","","bd","[]","","bat","Left hand Bat","Left Arm Orthodox","",0,0,8.5,"","","","","","","Bangladesh"
55306,"Shafiul Alam","Shafiul Alam","Shafiul Alam","","","1985-01-01","","bd","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8.5,"","","","","","","Bangladesh"
59914,"Nantu Kumar","Nantu Kumar","Nantu Kumar","","","1987-01-02","","bd","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Bangladesh"
63754,"Al Amin Hosen","Al Amin Hosen","Al Amin Hosen","","","1998-11-22","","bd","[]","","bat","","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Bangladesh"
59915,"Arafat Salahuddin","Arafat Salahuddin","Arafat Salahuddin","","","1984-03-01","","bd","[]","","bat","Right Hand Bat","Right Arm Fast Medium","",0,0,9,"","","","","","","Bangladesh"
55308,"Rajibul Islam","Rajibul Islam","Rajibul Islam","","","1994-12-30","","bd","[]","","bowl","Right Hand Bat","Left Arm Orthodox","",0,0,8,"","","","","","","Bangladesh"
61708,"Mukammel Ali","Mukammel Ali","Mukammel Ali","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
129036,"Ruhyeen Chowdhury","R Chowdhury","Ruhyeen Chowdhury","","","2002-04-12","","bd","[]","","bowl","","","",0,0,6,"","","","","","","Bangladesh"
87309,"Nur Alam Saddam","Nur Alam Saddam","Nur Alam Saddam","","","","","bd","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Bangladesh"
55309,"Maksudul Hasan Rahat","Maksudul Hasan","Maksudul Hasan Rahat","","","1989-02-09","","bd","[]","","bat","Right Hand Bat","Left Arm Orthodox","",0,0,8,"","","","","","","Bangladesh"
59917,"Monowar Hossain","Monowar Hossain","Monowar Hossain","","","1984-07-10","","bd","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Bangladesh"
61709,"Sadid Hossain","Sadid Hossain","Sadid Hossain","","","1985-12-25","","bd","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Bangladesh"
84238,"Nuruzzaman Rubel","Nuruzzaman Rubel","Nuruzzaman Rubel","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
93711,"Nirjan Bhadra","N Bhadra","Nirjan Bhadra","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
55311,"Mohammad Azim","Mohammad Azim","Mohammad Azim","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
61711,"Arif Reza","Arif Reza","Arif Reza","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
55312,"Nahidul Islam","Nahidul Islam","Nahidul Islam","","","1993-07-19","","bd","[]","","all","Right Hand Bat","Right Arm Off Break","",0,0,8.5,"","","","","","","Bangladesh"
59920,"Ashraful Haque","Ashraful Haque","Ashraful Haque","","","1983-12-12","","bd","[]","","bat","Right Hand Bat","Right Arm Fast Medium","",0,0,8,"","","","","","","Bangladesh"
61712,"Imran Hossain","Imran Hossain","Imran Hossain","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
55313,"Saju Datta","Saju Datta","Saju Datta","","","1985-01-01","","bd","[]","","bat","Left hand Bat","Left Arm Orthodox","",0,0,8,"","","","","","","Bangladesh"
61713,"Mohammad Rahi","Mohammad Rahi","Mohammad Rahi","","","1986-12-26","","bd","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Bangladesh"
92178,"Golam Kibria","G Kibria","Golam Kibria","","","1989-08-28","","bd","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Bangladesh"
124946,"Abbas Musa Alve","Abbas Musa Alve","Abbas Musa Alve","","","","","bd","[]","","wk","","","",0,0,8,"","","","","","","Bangladesh"
126738,"Sultana Khatun","S Khatun","Sultana Khatun","","","1996-02-05","Khulna, Bangladesh","bd","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,6.5,"Sultana Khatun","","","","","","Bangladesh"
124947,"Mukhtar Ali","M Ali","Mukhtar Ali","","","","","bd","[]","","all","","","",0,0,8,"","","","","","","Bangladesh"
59923,"Mosaddek Iftekhar","Mosaddek Iftekhar","Mosaddek Iftekhar","","","1989-12-26","","bd","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,9,"","","","","","","Bangladesh"
90388,"Saddam Hossain","Saddam Hossain Shawon","Saddam Hossain","","","1994-12-29","","bd","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Bangladesh"
92436,"Nasir Hussain","N Hussain","Nasir Hussain","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
55316,"Al-Amin Siddique","Al-Amin Siddique","Al-Amin Siddique","","","1992-02-05","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
124948,"Ashraful Hasan Rihad","AH Rihad","Ashraful Hasan Rihad","","","","","bd","[]","","bat","","","",0,0,6,"","","","","","","Bangladesh"
59924,"Jobaydur Rahman","Jobaydur Rahman","Jobaydur Rahman","","","1985-11-20","","bd","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Bangladesh"
90389,"Asif Hossain","Asif Hossain","Asif Hossain","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
92437,"Mobashir Khan","M Khan","Mobashir Khan","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
55317,"Rubel Mia","Rubel Mia","Rubel Mia","","","1992-08-05","","bd","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Bangladesh"
124949,"Ijharul Islam Kanon","lI Kanon","Ijharul Islam Kanon","","","","","bd","[]","","bat","","","",0,0,8.5,"","","","","","","Bangladesh"
92438,"Aslam Ali","A Ali","Aslam Ali","","","","","bd","[]","","bat","","","",0,0,8.5,"","","","","","","Bangladesh"
124950,"Nakib Rezwan Shamsa","NR Shamsa","Nakib Rezwan Shamsa","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
63766,"Morshed Ali Khan","Morshed Ali Khan","Morshed Ali Khan","","","1972-05-14","","bd","[]","","bat","Left hand Bat","Left Arm Medium","",0,0,8,"","","","","","","Bangladesh"
90391,"Belal Hossen","Belal Hossen","Belal Hossen","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
92439,"Anhur Newaz","A Newaz","Anhur Newaz","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
93463,"Mohammad Al-Amin","M Al-Amin","Mohammad Al-Amin","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
55319,"Kafi Khan","Kafi Khan","Kafi Khan","","","","","bd","[]","","bat","","","",0,0,9,"","","","","","","Bangladesh"
124951,"Sahanur Rahman","S Rahman","Sahanur Rahman","","","","","bd","[]","","all","","","",0,0,8,"","","","","","","Bangladesh"
93464,"Linkon Dey","L Dey","Linkon Dey","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
93720,"Sadikur Rahman","S Rahman","Sadikur Rahman","","","1992-11-18","","bd","[]","","bat","Left hand Bat","Right Arm Off Break","",0,0,8.5,"","","","","","","Bangladesh"
55320,"Rony Hossain","Rony Hossain","Rony Hossain","","","1990-04-04","","bd","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",0,0,8,"","","","","","","Bangladesh"
124952,"Nashed Uddin","N Uddin","Nashed Uddin","","","","","bd","[]","","bowl","","","",0,0,8.5,"","","","","","","Bangladesh"
59928,"Aslam Khan","Aslam Khan","Aslam Khan","","","1988-12-23","","bd","[]","","bat","Right Hand Bat","Left Arm Medium","",0,0,8,"","","","","","","Bangladesh"
63768,"Ranjan Das","Ranjan Das","Ranjan Das","","","1982-07-14","","bd","[]","","bat","Right Hand Bat","Left Arm Fast Medium","",0,0,8,"","","","","","","Bangladesh"
93465,"Tanvir Haider","T Haider","Tanvir Haider","","","","","bd","[]","","bat","","","",0,0,8.5,"","","","","","","Bangladesh"
93721,"Rasel Al Mamun","RA Mamun","Rasel Al Mamun","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
124953,"kaykobad mihal","k mihal","kaykobad mihal","","","","","bd","[]","","bowl","","","",0,0,8,"","","","","","","Bangladesh"
93466,"Zakir Ali Anik","ZA Anik","Zakir Ali Anik","","","","","bd","[]","","bat","","","",0,0,9.5,"","","","","","","Bangladesh"
55322,"Shafaq Al Zabir","Shafaq Al Zabir","Shafaq Al Zabir","","","1986-07-10","","bd","[]","","bat","Right Hand Bat","Left Arm Medium Fast","",0,0,8,"","","","","","","Bangladesh"
124954,"Sagor","Sagor","Sagor","","","","","bd","[]","","bowl","","","",0,0,8,"","","","","","","Bangladesh"
89883,"Nazmus Sakib","Nazmus Sakib","Nazmus Sakib","","","1993-12-04","","bd","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,7.5,"","","","","","","Bangladesh"
94235,"Imran Ahmed","Imran Ahmed","Imran Ahmed","","","2002-04-05","","bd","[]","","bat","Right Hand Bat","Left Arm Orthodox","",0,0,8.5,"","","","","","","Bangladesh"
60187,"Shathira Jakir","Shathira Jakir","Shathira Jakir","","","1990-11-30","","bd","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Bangladesh"
63771,"Rafikul Khan","Rafiqul Islam","Rafikul Khan","","","1977-11-07","","bd","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Bangladesh"
133404,"Hosen  Syed Delwar","HS Delwar","Hosen  Syed Delwar","","","","","bd","[]","","all","","","",0,0,6,"","","","","","","Bangladesh"
94236,"Towfiq Khan","Towfiq Khan","Towfiq Khan","","","1991-06-12","","bd","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",0,0,8,"","","","","","","Bangladesh"
124956,"Animul Islam","A Islam","Animul Islam","","","","","bd","[]","","bat","","","",0,0,8,"","","","","","","Bangladesh"
9501,"Zahid Razzak","Zahid Razzak","Zahid Razzak","","","1967-08-02","","bd","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Bangladesh"
94237,"Mohor Sheikh","Mohor Sheikh","Mohor Sheikh","","","1997-03-21","","bd","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Bangladesh"
43293,"Alok Kapali","Alok Kapali","Alok Kapali","","","1984-01-01","","bd","[]","","all","Right Hand Bat","Right Arm Leg Spin","",0,0,8,"","","","","","","Bangladesh"
44317,"Panna Ghosh","Panna Ghosh","Panna Ghosh","","","1989-11-11","","bd","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,8.5,"","","","","","","Bangladesh"
55325,"Mohammad Forkan","Mohammad Forkan","Mohammad Forkan","","","1992-02-15","","bd","[]","","bowl","Left hand Bat","Left Arm Orthodox","",0,0,9,"","","","","","","Bangladesh"
124957,"Nayeem Islam Jr","N Islam Jr","Nayeem Islam Jr","","","","","bd","[]","","all","","","",0,0,8.5,"","","","","","","Bangladesh"
60189,"Sultana Yesmin","Sultana Yesmin","Sultana Yesmin","","","1989-08-13","","bd","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Bangladesh"
63773,"Hannan Sarkar","Hannan Sarkar","Hannan Sarkar","","","1982-12-01","","bd","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Bangladesh"
93726,"Rakibul Islam","R Islam","Rakibul Islam","","","1997-12-02","","bd","[]","","all","Right Hand Bat","Right Arm Off Break","",0,0,8.5,"","","","","","","Bangladesh"
94238,"Shafiqul Islam","Shafiqul Islam","Shafiqul Islam","","","","","bd","[]","","bowl","","","",0,0,8,"","","","","","","Bangladesh"
133663,"Abdul Munim","A Munim","Abdul Munim","","","","","bd","[]","","bat","","","",0,0,5.5,"","","","","","","Bangladesh"
92447,"Nasir Ahmed","N Ahmed","Nasir Ahmed","","","","","bd","[]","","bat","","","",0,0,8.5,"","","","","","","Bangladesh"
93471,"Roni Hossen","R Hossen","Roni Hossen","","","2000-07-10","","bd","[]","","bowl","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Bangladesh"
