"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
93616,"Andrew Vincent","A Vincent","Andrew Vincent","","","","","ie","[]","","bat","","","",23818,1516829400,8.5,"","","","","","","Ireland"
93606,"Varun Chopra","V Chopra","Varun Chopra","","","2000-02-01","","ie","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",23810,1516397400,8,"","","","","","","Ireland"
93610,"Reece Kelly","R Kelly","Reece Kelly","","","","","ie","[]","","bat","","","",23796,1516051800,9,"","","","","","","Ireland"
93607,"Mark Donegan","M Donegan","Mark Donegan","","","1998-12-21","","ie","[]","","bat","","","",23793,1515879000,6,"","","","","","","Ireland"
93608,"Jonathan Garth","JJ Garth","Jonathan Garth","","","","","ie","[]","","bowl","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93609,"Jamie Grassi","J Grassi","Jamie Grassi","","","1998-10-09","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93611,"Graham Kennedy","G Kennedy","Graham Kennedy","","","1999-08-24","","ie","[]","","bowl","Left hand Bat","Left Arm Medium","",23793,1515879000,8.5,"","","","","","","Ireland"
93612,"Sam Murphy","S Murphy","Sam Murphy","","","","","ie","[]","","bat","","","",23793,1515879000,8.5,"","","","","","","Ireland"
93613,"Max Neville","M Neville","Max Neville","","","2000-04-29","","ie","[]","","bat","Right Hand Bat","Right Arm Fast","",23793,1515879000,8,"","","","","","","Ireland"
93614,"Neil Rock","N Rock","Neil Rock","","","2000-09-24","Dublin, Ireland","ie","[]","","wk","Left hand Bat","","",23793,1515879000,6.5,"","","https://twitter.com/pebsrock015","","","","Ireland"
93615,"Morgan Topping","M Topping","Morgan Topping","","","","","ie","[]","","bat","","","",23793,1515879000,7,"","","","","","","Ireland"
207,"Ed Joyce","EC Joyce","Ed Joyce","","","1978-09-22","Dublin","ie","[]","","bat","Left hand Bat","Right Arm Medium","",37708,1515648600,9,"","","","","","","Ireland"
209,"Niall O'Brien","NJ O'Brien","Niall O'Brien","","","1981-11-08","Dublin","ie","[]","","wkbat","Left hand Bat","","Wicketkeeper",37708,1515648600,8.5,"","https://www.facebook.com/niallob/","https://twitter.com/niallnobiobrien","https://www.instagram.com/niallnobiobrien/","","","Ireland"
83456,"Robin Kelly","RJ Kelly","Robin Kelly","","","1993-05-24","","ie","[]","","bat","Left hand Bat","Left Arm Medium","",0,0,7.5,"","","","","","","Ireland"
85504,"Julie van de Flier","JAE van der Flier","Julie van de Flier","","","1997-02-24","","ie","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Ireland"
92161,"Graham McDonnell","GF McDonnell","Graham McDonnell","","","1990-10-20","","ie","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8.5,"","","","","","","Ireland"
92162,"Richard Keaveney","RJ Keaveney","Richard Keaveney","","","1989-05-29","","ie","[]","","bat","Right Hand Bat","Right Arm Fast Medium","",0,0,8.5,"","","","","","","Ireland"
7683,"Stephen Warke","SJS Warke","Stephen Warke","","","1959-07-11","","ie","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,9,"","","","","","","Ireland"
103427,"Jared Wilson","J Wilson","Jared Wilson","","","","","ie","[]","","bowl","","","",0,0,6.5,"","","","","","","Ireland"
7684,"David Dennison","DG Dennison","David Dennison","","","1961-12-22","","ie","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Ireland"
7685,"Robert Wills","RT Wills","Robert Wills","","","1950-07-19","","ie","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Ireland"
7686,"Alan Lewis","DA Lewis","Alan Lewis","","","1964-06-01","","ie","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Ireland"
7687,"John Prior","JA Prior","John Prior","","","1960-06-14","","ie","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8.5,"","","","","","","Ireland"
7688,"Thomas Patterson","TJT Patterson","Thomas Patterson","","","1959-12-25","","ie","[]","","bat","Left hand Bat","Left Arm Medium","",0,0,8.5,"","","","","","","Ireland"
7689,"Simon Corlett","SC Corlett","Simon Corlett","","","1950-01-18","","ie","[]","","bat","Right Hand Bat","Right Arm Fast Medium","",0,0,8,"","","","","","","Ireland"
7690,"Junior McBrine","A McBrine","Junior McBrine","","","1963-09-16","","ie","[]","","bat","Right Hand Bat","Left Arm Orthodox","",0,0,8.5,"","","","","","","Ireland"
7691,"Michael Halliday","M Halliday","Michael Halliday","","","1948-08-20","","ie","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Ireland"
59147,"Nigel Jones","NG Jones","Nigel Jones","","","1982-04-22","","ie","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,9,"","","","","","","Ireland"
7692,"Keith Bailey","KR Bailey","Keith Bailey","","","1964-02-21","","ie","[]","","bat","Right Hand Bat","","",0,0,8.5,"","","","","","","Ireland"
7693,"John Elder","JWG Elder","John Elder","","","1949-08-16","","ie","[]","","bat","Right Hand Bat","Right Arm Fast Medium","",0,0,8,"","","","","","","Ireland"
107791,"Mitchell Thompson","M Thompson","Mitchell Thompson","","","2001-11-12","","ie","[]","","all","Right Hand Bat","Right Arm Leg Spin","",0,0,8,"","","","","","","Ireland"
108815,"Gavin Hoey","Gavin Hoey","Gavin Hoey","","","2001-11-05","","ie","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",0,0,8,"","","","","","","Ireland"
121361,"Sadalee Malwatta","S Malwatta","Sadalee Malwatta","","","","","ie","[]","","bowl","","","",0,0,7.5,"","","","","","","Ireland"
1300,"Andrew Austin","A Austin","Andrew Austin","","","1997-09-03","","ie","[]","","bat","Left hand Bat","","",0,0,8.5,"","","","","","","Ireland"
1301,"Aaron Gillespie","A Gillespie","Aaron Gillespie","","","1997-03-13","","ie","[]","","bat","Right Hand Bat","","",0,0,6.5,"","","","","","","Ireland"
121365,"Kirandeep Kaur","K Kaur","Kirandeep Kaur","","","","","ie","[]","","bowl","","","",0,0,6,"","","","","","","Ireland"
48406,"Curtis Campher","C Campher","Curtis Campher","","","1999-04-20","Johannesburg","ie","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"Curtis Campher","","https://twitter.com/curtis_campher","https://www.instagram.com/curtcampher13/","","","Ireland"
126743,"Genevieve Morrissey","G Morrissey","Genevieve Morrissey","","","","","ie","[]","","bat","","","",0,0,5.5,"","","","","","","Ireland"
126744,"Isabelle Mclean","I Mclean","Isabelle Mclean","","","","","ie","[]","","wk","","","",0,0,6.5,"","","","","","","Ireland"
128280,"Lucy Mcqrahan","L Mcqrahan","Lucy Mcqrahan","","","","","ie","[]","","wk","","","",0,0,6,"","","","","","","Ireland"
115739,"Alison Cowan","A Cowan","Alison Cowan","","","","","ie","[]","","wk","","","",0,0,8.5,"","","","","","","Ireland"
118555,"Lainey Martin","Lainey Martin","Lainey Martin","","","","","ie","[]","","bowl","","","",0,0,8,"","","","","","","Ireland"
44572,"Shauna Kavanagh","SM Kavanagh","Shauna Kavanagh","","","1992-04-21","Dublin","ie","[]","","wkbat","Right Hand Bat","Right Arm Medium","",0,0,7.5,"","https://www.facebook.com/shauna.kavanagh.334/","https://twitter.com/shauna_85","https://www.instagram.com/shaunaakavanagh97/","","","Ireland"
115740,"Abbi Harison","A Harison","Abbi Harison","","","","","ie","[]","","bat","","","",0,0,6,"","","","","","","Ireland"
118556,"Anna Beale","Anna Beale","Anna Beale","","","","","ie","[]","","bowl","","","",0,0,8,"","","","","","","Ireland"
115741,"Charlotte Lyons","C Lyons","Charlotte Lyons","","","","","ie","[]","","bat","","","",0,0,8,"","","","","","","Ireland"
115742,"Amy Caulfield","A Caulfield","Amy Caulfield","","","","","ie","[]","","bat","","","",0,0,7,"","","","","","","Ireland"
95775,"Hannah Little","Hannah Little","Hannah Little","","","","","ie","[]","","bowl","","","",0,0,8,"","","","","","","Ireland"
115743,"Mollie Devine","M Devine","Mollie Devine","","","","","ie","[]","","bat","","","",0,0,6.5,"","","","","","","Ireland"
60191,"Emma Flanagan","ELC Flanagan","Emma Flanagan","","","1991-01-07","","ie","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Ireland"
115744,"Jemma Rankin","J Rankin","Jemma Rankin","","","","","ie","[]","","bowl","","","",0,0,8,"","","","","","","Ireland"
115745,"Kia Mccartney","K Mccartney","Kia Mccartney","","","","","ie","[]","","bowl","","","",0,0,7,"","","","","","","Ireland"
107811,"Maria Kerrison","M Kerrison","Maria Kerrison","","","","","ie","[]","","all","","","",0,0,8.5,"","","","","","","Ireland"
50724,"Mark Adair","MR Adair","Mark Adair","","","1996-03-27","Holywood, Northern Ireland","ie","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",0,0,7.5,"Mark Adair","","https://twitter.com/MarkkAdairr","https://www.instagram.com/markadair32/","","","Ireland"
92197,"Theo Lawson","TS Lawson","Theo Lawson","","","1988-09-24","","ie","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",0,0,8.5,"","","","","","","Ireland"
60197,"Rebecca Rolfe","RA Rolfe","Rebecca Rolfe","","","1986-11-27","","ie","[]","","bat","Right Hand Bat","","",0,0,8,"","","","","","","Ireland"
57895,"Shane Getkate","SC Getkate","Shane Getkate","","","1991-10-02","","ie","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Ireland"
62503,"James McCollum","JA McCollum","James McCollum","","","1995-08-01","Lisburn, United Kingdom","ie","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"","","https://twitter.com/JMccollum95","https://www.instagram.com/james_mccollum07/","","","Ireland"
62504,"Cormac McLoughlin Gavin","C McLoughlin","Cormac McLoughlin Gavin","","","1994-04-30","","ie","[]","","bat","","","",0,0,6,"","","","","","","Ireland"
62505,"Peter Eakin","PA Eakin","Peter Eakin","","","1995-05-02","","ie","[]","","bat","","","",0,0,8,"","","","","","","Ireland"
62506,"Lee Cole","LC Cole","Lee Cole","","","1995-02-21","","ie","[]","","bat","","","",0,0,7.5,"","","","","","","Ireland"
107564,"Ashlee King-2","A King-2","Ashlee King-2","","","","","ie","[]","","bowl","","","",0,0,8.5,"","","","","","","Ireland"
107820,"John Matchett","J Matchett","John Matchett","","","2023-07-19","","ie","[]","","bat","","","",0,0,5.5,"","","","","","","Ireland"
107565,"Christina Coulter","C Coulter","Christina Coulter","","","","","ie","[]","","bat","","","",0,0,6,"","","","","","","Ireland"
124977,"Adam Heasley","A Heasley","Adam Heasley","","","","","ie","[]","","bat","","","",0,0,8,"","","","","","","Ireland"
119602,"Cameron Melly","C Melly","Cameron Melly","","","2002-09-20","","ie","[]","","bat","Right Hand Bat","Right Arm Fast","",0,0,6,"","","","","","","Ireland"
92211,"Lee Nelson","LT Nelson","Lee Nelson","","","1990-12-05","","ie","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","Ireland"
118067,"A Fisher","A Fisher","A Fisher","","","","","ie","[]","","bat","","","",0,0,8,"","","","","","","Ireland"
119603,"John McNally","JC McNally","John McNally","","","2005-04-17","Dublin","ie","[]","","all","Left hand Bat","Right Arm Medium","",0,0,6,"","","","","","","Ireland"
124979,"Adam Kennedy","A Kennedy","Adam Kennedy","","","","","ie","[]","","bowl","","","",0,0,6.5,"","","","","","","Ireland"
119604,"Finn Catherwood","F Catherwood","Finn Catherwood","","","2004-02-09","","ie","[]","","bowl","","","",0,0,5.5,"","","","","","","Ireland"
59189,"Albert van der Merwe","A van der Merwe","Albert van der Merwe","","","1979-06-01","","ie","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,9,"","","","","","","Ireland"
124981,"Angus Farrell","A Farrell","Angus Farrell","","","","","ie","[]","","bowl","","","",0,0,8,"","","","","","","Ireland"
134966,"Kian Hilton","K Hilton","Kian Hilton","","","2005-02-11","Johannesburg","ie","[]","","bowl","Right Hand Bat","","",0,0,7.5,"","","","","","","Ireland"
124982,"Mark Best","M Best","Mark Best","","","","","ie","[]","","bowl","","","",0,0,8,"","","","","","","Ireland"
134967,"Ryan Hunter","RD Hunter","Ryan Hunter","","","2006-02-11","","ie","[]","","all","Right Hand Bat","","Wicketkeeper",0,0,7.5,"","","","","","","Ireland"
92218,"Jeremy Bray","JP Bray","Jeremy Bray","","","1973-11-30","","ie","[]","","bat","Left hand Bat","","",0,0,8.5,"","","","","","","Ireland"
62522,"Alistair Shields","AI Shields","Alistair Shields","","","1994-01-24","","ie","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","","","","Ireland"
50495,"Barry McCarthy","BJ McCarthy","Barry McCarthy","","","1992-09-13","Dublin, Ireland","ie","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",0,0,6.5,"Barry McCarthy","","https://twitter.com/barrymccarthy2","https://www.instagram.com/barrymccarthy2/","","","Ireland"
