"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
93,"Moeen Ali","M Ali","Moeen Ali","","","1987-06-18","Birmingham","en","[]","","all","Left hand Bat","Right Arm Off Break","",0,0,7.5,"Moeen Ali","https://www.facebook.com/moeenmunirali/","https://twitter.com/MoeenaliAli","https://www.instagram.com/moeenmunirali/","","","England"
123,"MS Dhoni","MS Dhoni","MS Dhoni","","","1981-07-07","Ranchi, Jharkhand","in","[]","","wkbat","Right Hand Bat","Right Arm Medium","Wicketkeeper",0,0,7.5,"","https://www.facebook.com/MSDhoni","https://twitter.com/msdhoni","https://www.instagram.com/mahi7781/","","","India"
125,"Ravindra Jadeja","R Jadeja","Ravindra Jadeja","","","1988-12-06","Navagam-Khed, Saurashtra","in","[]","","all","Left hand Bat","Left Arm Orthodox","",0,0,8.5,"Ravindra Jadeja","https://www.facebook.com/ImRavindraJadeja/","https://mobile.twitter.com/imjadeja","https://www.instagram.com/ravindra.jadeja","","","India"
127,"Ajinkya Rahane","AM Rahane","Ajinkya Rahane","","","1988-06-06","Ashwi-KD, Maharashtra","in","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"Ajinkya Rahane","https://www.facebook.com/ajinkyarahaneofficial/","https://twitter.com/ajinkyarahane88","https://www.instagram.com/ajinkyarahane/","","","India"
810,"Shardul Thakur","S Thakur","Shardul Thakur","","","1991-10-16"," Palghar, Maharashtra","in","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,7,"Shardul Thakur","https://www.facebook.com/shardulthakur2020/","https://twitter.com/imShard","https://www.instagram.com/shardul_thakur/","","","India"
1081,"Rachin Ravindra","R Ravindra","Rachin Ravindra","","","1999-11-18","Wellington","nz","[]","","all","Left hand Bat","Left Arm Orthodox","",0,0,9,"Rachin Ravindra","","","https://www.instagram.com/rachinravindra/","","","New Zealand"
1745,"Mustafizur Rahman","M Rahman","Mustafizur Rahman","","","1995-09-06","Satkhira","bd","[]","","bowl","Left hand Bat","Left Arm Fast Medium","",0,0,8.5,"Mustafizur Rahman","https://www.facebook.com/Official.Mustafizur90/","https://twitter.com/Mustafiz90","https://www.instagram.com/mustafizur_90/","","","Bangladesh"
1923,"Mitchell Santner","M Santner","Mitchell Santner","","","1992-02-05"," Hamilton","nz","[]","","all","Left hand Bat","Left Arm Orthodox","",0,0,9,"Mitchell Santner","https://www.facebook.com/mitchellsantnernz/","https://twitter.com/MitchellSantner","https://www.instagram.com/mitchsantner/","","","New Zealand"
16509,"Daryl Mitchell","D Mitchell","Daryl Mitchell","","","1991-05-20","Hamilton","nz","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Daryl Mitchell","https://www.facebook.com/p/Daryl-Mitchell-100075451013994/","https://twitter.com/dazmitchell47","https://www.instagram.com/dazmitchell47/","","","New Zealand"
46141,"Devon Conway","D Conway","Devon Conway","","","1991-07-08","Johannesburg, Transvaal","nz","[]","","wk","Left hand Bat","Right Arm Medium","occasional wicket keeper",0,0,9,"Devon Conway","","https://twitter.com/D_Conway88","https://www.instagram.com/devonconway88/","","","New Zealand"
48348,"Tushar Deshpande","TU Deshpande","Tushar Deshpande","","","1995-05-15"," Mumbai","in","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,8,"","https://www.facebook.com/DeshpandeTushar96/","https://twitter.com/TusharD_96","https://www.instagram.com/tushardeshpande96/","","","India"
53819,"Deepak Chahar","DL Chahar","Deepak Chahar","","","1992-08-07"," Agra, Uttar Pradesh","in","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,7,"Deepak Chahar","","https://twitter.com/deepak_chahar9","","","","India"
58733,"Shivam Dube","S Dube","Shivam Dube","","","1993-06-26","Mumbai","in","[]","","all","Left hand Bat","Right Arm Medium","",0,0,6,"","https://www.facebook.com/IamShivamDube/","https://twitter.com/IamShivamDube","https://www.instagram.com/dubeshivam/","","","India"
90363,"Ruturaj Gaikwad","RD Gaikwad","Ruturaj Gaikwad","","","1997-01-31"," Pune, Maharashtra","in","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,5.5,"Ruturaj Gaikwad","https://www.facebook.com/Ruutu131/","https://twitter.com/Ruutu1331","https://www.instagram.com/ruutu.131/","","","India"
90373,"Ajay Mandal","AJ Mandal","Ajay Mandal","","","1996-02-25","Durg, Madhya Pradesh","in","[]","","all","Left hand Bat","Left Arm Orthodox","",0,0,9,"","","https://twitter.com/realAjayMandal","https://www.instagram.com/mandalajju25/","","","India"
93382,"Mukesh Choudhary","M Choudhary","Mukesh Choudhary","","","1996-07-06","Pardodas, Bhilwara, Rajsthan","in","[]","","bowl","Left hand Bat","Left Arm Medium","",0,0,8.5,"","https://www.facebook.com/mukeshchoudharymusic/","","https://www.instagram.com/mukesh__33/","","","India"
94025,"Simarjeet Singh","S Singh","Simarjeet Singh","","","1998-01-17"," Delhi","in","[]","","bowl","Right Hand Bat","Right Arm Medium Fast","",0,0,5.5,"https://images.entitysport.com/assets/uploads//2023/04/Simarjeet-Singh.png","","","","","","India"
94457,"Maheesh Theekshana","M Theekshana","Maheesh Theekshana","","","2000-08-01","Colombo","lk","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8.5,"Maheesh Theekshana","https://www.facebook.com/MaheeshTheekshana61/","https://twitter.com/maheesht61","https://www.instagram.com/maheesh_theekshana/","","","Sri Lanka"
94570,"Rajvardhan Hangargekar","RS Hangargekar","Rajvardhan Hangargekar","","","2002-11-10","Tuljapur, Maharashtra","in","[]","","bowl","","","",0,0,8.5,"","https://www.facebook.com/rajvardhanhamgargekar/","https://twitter.com/Im_Rajvardhan77","","","","India"
94826,"Sameer Rizvi","Sameer Rizvi","Sameer Rizvi","","","","","in","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,7.5,"","","","","","","India"
95635,"Matheesha Pathirana","M Pathirana","Matheesha Pathirana","","","2002-12-18"," Kandy","lk","[]","","bowl","Right Hand Bat","Right Arm Fast","",0,0,6.5,"","https://www.facebook.com/matheeshapathiranaofficial/","https://twitter.com/matheesha_9","https://www.instagram.com/matheesha.pathirana_99/","","","Sri Lanka"
105696,"Prashant Solanki","PH Solanki","Prashant Solanki","","","2000-02-22","Mumbai, India","in","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",0,0,5,"","","https://twitter.com/PSolankii22","","","","India"
113934,"Nishant Sindhu","N Sindhu","Nishant Sindhu","","","2004-04-09","Rohtak, Haryana","in","[]","","all","Left hand Bat","Left Arm Orthodox","",0,0,8,"","","https://twitter.com/NishantSs_08","","","","India"
114080,"Shaik Rasheed","S Rasheed","Shaik Rasheed","","","2004-09-24","Guntur, Andhra Pradesh","in","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",0,0,8.5,"","","https://twitter.com/skrasheed66","https://www.instagram.com/shaikrasheed66/","","","India"
134093,"Aravelly Avanish","A Avanish","Aravelly Avanish","","","2005-11-08","","in","[]","","bowl","Left hand Bat","Left Arm Medium Fast","",0,0,7,"","","","","","","India"
