"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
71,"David Warner","D Warner","David Warner","","","1986-10-27","Paddington, New South Wales","au","[]","","bat","Left hand Bat","Right Arm Leg Spin","",0,0,9,"David Warner","https://www.facebook.com/davidwarner31/","https://twitter.com/davidwarner31","https://www.instagram.com/davidwarner31/","","","Australia"
83,"Mitchell Marsh","M Marsh","Mitchell Marsh","","","1991-10-20"," Attadale, Perth","au","[]","","all","Right Hand Bat","Right Arm Medium","",18968,1514244600,9,"Mitchell Marsh","https://www.facebook.com/mitchmarsh235/","https://twitter.com/ImMitchelmarsh","https://www.instagram.com/mitchmarsh235/","","","Australia"
634,"Axar Patel","AR Patel","Axar Patel","","","1994-01-20","Anand, Gujarat","in","[]","","all","Left hand Bat","Left Arm Orthodox","",0,0,8,"Axar Patel","https://www.facebook.com/CircleofCricket.AksharPatel/","https://twitter.com/akshar2026","https://www.instagram.com/akshar.patel/?hl=en","","","India"
665,"Ishant Sharma","I Sharma","Ishant Sharma","","","1988-09-02","Delhi","in","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",0,0,8,"","https://www.facebook.com/IshantSharmaIND/","https://twitter.com/ImIshant","https://www.instagram.com/ishant.sharma29/","","","India"
775,"Kuldeep Yadav","K Yadav","Kuldeep Yadav","","","1994-12-14","Kanpur, Uttar Pradesh","in","[]","","bowl","Left hand Bat","Left Arm Wrist Spin","",0,0,8.5,"Kuldeep Yadav","https://www.facebook.com/CircleofCricket.KuldeepYadav/","https://twitter.com/imkuldeep18","https://www.instagram.com/kuldeep_18/","","","India"
1098,"Rishabh Pant","R Pant","Rishabh Pant","","","1997-10-04","","in","[]","","wk","Left hand Bat","","",0,0,8,"Rishabh Pant","","","","","","India"
1099,"Ricky Bhui","RK Bhui","Ricky Bhui","","","1996-09-29","Bhopal, Madhya Pradesh","in","[]","","wk","Right Hand Bat","Right Arm Leg Spin","",0,0,7.5,"","","","https://www.instagram.com/rickybhui05/","","","India"
1106,"Khaleel Ahmed","KK Ahmed","Khaleel Ahmed","","","1997-12-05","Tonk, Rajasthan","in","[]","","bowl","Right Hand Bat","Left Arm Medium","",0,0,8.5,"","https://www.facebook.com/KhaleelAhmedCricketer","https://twitter.com/imK_Ahmed13","","","","India"
43631,"Jhye Richardson","JA Richardson","Jhye Richardson","","","1996-09-20","Murdoch, Western Australia","au","[]","","bowl","Right Hand Bat","Right Arm Fast","",18971,1516332000,8.5,"Jhye Richardson","https://www.facebook.com/jhye.richardson.5/","https://twitter.com/jhyericho?lang=en","https://www.instagram.com/jhye.richardson/?hl=en","","","Australia"
46131,"Lungi Ngidi","L Ngidi","Lungi Ngidi","","","1996-03-29","Durban, Natal","za","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",0,0,7,"Lungi Ngidi","https://www.facebook.com/NgidiLungi/","https://twitter.com/NgidiLungi","https://www.instagram.com/lungingidi/","","","South Africa"
46943,"Shai Hope","SD Hope","Shai Hope","","","1993-11-10","Barbados","wi","[]","","wk","Right Hand Bat","","Wicketkeeper",0,0,7.5,"Shai Hope","","https://twitter.com/shaidhope","https://www.instagram.com/shaidhope/","","","West Indies"
56322,"Praveen Dubey","P Dubey","Praveen Dubey","","","1993-07-01","Azamgarh, Uttar Pradesh","in","[]","","all","Right Hand Bat","Right Arm Leg Spin","",0,0,8.5,"","https://www.facebook.com/praveendubey28/","https://twitter.com/pravindubey","https://www.instagram.com/pravindubey_pd/","","","India"
57187,"Anrich Nortje","AA Nortje","Anrich Nortje","","","1993-11-16","Kariega, South Africa","za","[]","","bowl","Right Hand Bat","Right Arm Fast","",0,0,9,"Anrich Nortje","https://www.facebook.com/anrichnortje02/","https://twitter.com/AnrichNortje02","https://www.instagram.com/anrich_nortje/","","","South Africa"
60288,"Tristan Stubbs","T Stubbs","Tristan Stubbs","","","2000-08-14"," Cape Town, South Africa","za","[]","","wk","Right Hand Bat","Right Arm Off Break","wicketkeeper",0,0,5,"","https://www.facebook.com/p/Tristan-Stubbs-100083918870071/","https://twitter.com/TristanStubbs18","https://www.instagram.com/tristanstubbs013/","","","South Africa"
90493,"Mukesh Kumar","M Kumar","Mukesh Kumar","","","1993-10-12"," Gopalganj, Bihar","in","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,7,"Mukesh Kumar","","","","","","India"
90624,"Prithvi Shaw","P Shaw","Prithvi Shaw","","","1999-11-09","Thane, Maharashtra","in","{""tid"":25,""name"":"""",""short_name"":""""}","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8.5,"","https://www.facebook.com/shawprithvi/","https://twitter.com/PrithviShaw","https://www.instagram.com/prithvishaw/","","","India"
90887,"Harry Brook","H Brook","Harry Brook","","","1999-02-22","Keighley, Yorkshire","en","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8.5,"Harry Brook","https://www.facebook.com/HarryBroook/","https://twitter.com/Harry_Brook_88","https://www.instagram.com/harry_brook88/","","","England"
93406,"Lalit Yadav","L Yadav","Lalit Yadav","","","1997-01-03"," Delhi","in","[]","","all","Right Hand Bat","Right Arm Off Break","",0,0,9,"","","https://twitter.com/LalitYadav03","","","","India"
94090,"Rasikh Salam","Rasikh Salam","Rasikh Salam","","","2000-04-05","","in","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,8.5,"","","","","","","India"
