"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
31,"Kane Williamson","K Williamson","Kane Williamson","","","1990-08-08","Tauranga","nz","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,9,"Kane Williamson","https://www.facebook.com/KaneWillTrain/","https://twitter.com/KaneWiliamson","https://www.instagram.com/kane_s_w/","","","New Zealand"
131,"Mohammed Shami","M Shami","Mohammed Shami","","","1990-09-03"," Amroha, Uttar Pradesh","in","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",36236,1515141000,7.5,"Mohammed Shami","","","","","","India"
133,"Umesh Yadav","UT Yadav","Umesh Yadav","","","1987-10-25","Nagpur, Maharashtra","in","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",0,0,8,"Umesh Yadav","https://www.facebook.com/yadavumesh/","","https://www.instagram.com/umeshyaadav/","","","India"
135,"Mohit Sharma","MM Sharma","Mohit Sharma","","","1988-09-18","Ballabhgarh, Haryana","in","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,7,"","https://www.facebook.com/CircleofCricket.MohitSharma/","https://twitter.com/imohitsharma18?lang=en","https://www.instagram.com/mohitsharma18/","","","India"
167,"David Miller","D Miller","David Miller","","","1989-06-10","Pietermaritzburg, natal","za","[]","","bat","Left hand Bat","Right Arm Off Break","",0,0,8.5,"David Miller","https://www.facebook.com/davidmillersa12/","https://twitter.com/DavidMillerSA12","https://www.instagram.com/davidmillersa12/","","","South Africa"
633,"Wriddhiman Saha","WM Saha","Wriddhiman Saha","","","1984-10-24","Shaktigarh, Siliguri, Bengal, India","in","[]","","wkbat","Right Hand Bat","","Wicketkeeper",0,0,8,"","https://www.facebook.com/WriddhiPops/","https://twitter.com/Wriddhipops","https://www.instagram.com/wriddhi/","","","India"
738,"Rahul Tewatia","R Tewatia","Rahul Tewatia","","","1993-05-20","","in","[]","","all","Left hand Bat","Right Arm Leg Spin","",0,0,9,"","","","","","","India"
851,"Jayant Yadav","J Yadav","Jayant Yadav","","","1990-01-22","Delhi","in","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,9,"Jayant Yadav","","https://twitter.com/i/flow/login?redirect_after_login=%2FImJayantYadav","https://www.instagram.com/jyadav19/","","","India"
1115,"Josh Little","JB Little","Josh Little","","","1999-11-01","Dublin","ie","[]","","bowl","Right Hand Bat","Left Arm Fast Medium","",0,0,8.5,"Joshua Little","","","https://www.instagram.com/joshlittle13/","","","Ireland"
1157,"Rashid Khan","R Khan","Rashid Khan","","","1998-09-20"," Nangarhar, Afghanistan","af","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",0,0,9,"Rashid Khan","","https://twitter.com/rashidkhan_19","https://www.instagram.com/rashid.khan19/","","","Afghanistan"
43522,"Matthew Wade","MS Wade","Matthew Wade","","","1987-12-26","Hobart, Tasmania","au","[]","","wk","Left hand Bat","Right Arm Medium","",0,0,8.5,"Matthew Wade","","https://twitter.com/immatthewwade","https://www.instagram.com/matthewwade13/","","","Australia"
49682,"Vijay Shankar","Vijay Shankar","Vijay Shankar","","","1991-01-26"," Tirunelveli","in","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8.5,"","","https://twitter.com/vijayshankar260","https://www.instagram.com/vijay_41/?hl=en","","","India"
55275,"Shahrukh Khan","MS Khan","Shahrukh Khan","","","1995-05-27","Chennai, Tamil Nadu","in","[]","","all","Right Hand Bat","Right Arm Off Break","",0,0,8,"","https://www.facebook.com/IamShahrukh35/","https://twitter.com/shahrukh_35","https://www.instagram.com/shahrukh.35/","","","India"
56418,"Abhinav Manohar","A Manohar","Abhinav Manohar","","","1994-09-16","","in","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",0,0,6.5,"","","","","","","India"
89978,"Ravisrinivasan Sai Kishore","Ravisrinivasan Sai Kishore","Ravisrinivasan Sai Kishore","","","1996-11-06","Chennai","in","[]","","all","Left hand Bat","Left Arm Orthodox","",0,0,7.5,"","","","https://www.instagram.com/saik_99/","","","India"
90739,"Shubman Gill","S Gill","Shubman Gill","","","1999-09-08","Fazilka, Punjab","in","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"Shubman Gill","https://www.facebook.com/shubmangillofficialpage","https://twitter.com/ShubmanGill","https://www.instagram.com/shubmangill","","","India"
93340,"Kartik Tyagi","K Tyagi","Kartik Tyagi","","","2000-11-08","Hapur, Uttar Pradesh","in","[]","","bowl","Right Hand Bat","Right Arm Medium Fast","",0,0,8,"","https://www.facebook.com/imKartikTyagi","https://twitter.com/tyagiktk","https://www.instagram.com/kartiktyagi._/","","","India"
93357,"Spencer Johnson","SH Johnson","Spencer Johnson","","","1995-12-16","Adelaide, South Australia","au","[]","","bowl","Left hand Bat","Left Arm Medium Fast","",0,0,7.5,"","","","https://www.instagram.com/spencejohnson/","","","Australia"
93481,"Azmatullah Omarzai","A Omarzai","Azmatullah Omarzai","","","2000-03-24","Nangarhar, Afghanistan","af","[]","","all","Right Hand Bat","Right Arm Medium Fast","",23787,1515792600,7.5,"Azmatullah Omarzai","https://www.facebook.com/people/Azmatullah-omarzai/100063766717708/","https://twitter.com/AzmatOmarzay","","","","Afghanistan"
93855,"Sai Sudharsan","Sai Sudharsan","Sai Sudharsan","","","2001-10-15","","in","[]","","bat","Left hand Bat","Right Arm Leg Spin","",0,0,5.5,"","","","https://www.instagram.com/sais_1509/","","","India"
94215,"Darshan Nalkande","DG Nalkande","Darshan Nalkande","","","1998-10-04","","in","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",0,0,9,"","","","","","","India"
94574,"Manav Suthar","Manav Suthar","Manav Suthar","","","","","in","[]","","all","Left hand Bat","Left Arm Orthodox","",0,0,7.5,"","","","https://www.instagram.com/suthar_manav/","","","India"
94824,"Sushant Mishra","Sushant Mishra","Sushant Mishra","","","2000-12-23","","in","[]","","bowl","Left hand Bat","Left Arm Medium Fast","",0,0,8,"","","","","","","India"
102210,"Noor Ahmad","N Ahmad","Noor Ahmad","","","2005-01-03","Herat, Afghanistan","af","[]","","bowl","Right Hand Bat","Left Arm Wrist Spin","",0,0,7.5,"","https://www.facebook.com/Lakanwalnoor/","https://twitter.com/noor_ahmad_15","https://www.instagram.com/noor_lakanwal_15/","","","Afghanistan"
117209,"Robin Minz","R Minz","Robin Minz","","","","","in","[]","","wk","","","",0,0,7,"","","","","","","India"
