"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
89,"Mitchell Starc","M Starc","Mitchell Starc","","","1990-01-30","Baulkham Hills, Sydney, New South Wales","au","[]","","bowl","Left hand Bat","Left Arm Fast","",0,0,8.5,"Mitchell Starc","https://www.facebook.com/mstarc56/","https://twitter.com/mstarc56","https://www.instagram.com/mstarc56/","","","Australia"
269,"Andre Russell","AD Russell","Andre Russell","","","1988-04-29","Jamaica","wi","[]","","all","Right Hand Bat","Right Arm Fast","",0,0,9,"Andre Russell","https://www.facebook.com/Russell12A/","https://twitter.com/russell12a","https://www.instagram.com/ar12russell/","","","West Indies"
597,"Manish Pandey","MK Pandey","Manish Pandey","","","1989-09-10","Nainital, Uttaranchal","in","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,8,"","https://www.facebook.com/IMManishPandey/","https://twitter.com/im_manishpandey","Manish Krishnanand Pandey","","","India"
601,"Sunil Narine","SP Narine","Sunil Narine","","","1988-05-26","Arima, Trinidad & Tobago","wi","[]","","all","Left hand Bat","Right Arm Off Break","",0,0,9,"Sunil Narine","","","https://www.instagram.com/sunilnarine24/","","","West Indies"
620,"Shreyas Iyer","S Iyer","Shreyas Iyer","","","1994-12-06","Mumbai","in","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",0,0,7.5,"Shreyas Iyer","https://www.facebook.com/ShreyasIyerCricket/","https://twitter.com/ShreyasIyer15","https://www.instagram.com/shreyasiyer96/","","","India"
1929,"Jason Roy","JJ Roy","Jason Roy","","","1990-07-21","Durban, South Africa","en","{""tid"":490,""name"":"""",""short_name"":""""}","","bat","Right Hand Bat","","",0,0,9,"Jason Roy","https://www.facebook.com/JasonRoy20/","https://twitter.com/JasonRoy20","https://www.instagram.com/jasonroy20/","","","England"
52153,"Sherfane Rutherford","SE Rutherford","Sherfane Rutherford","","","1998-08-15","","wi","[]","","bat","Left hand Bat","Right Arm Fast Medium","",0,0,7,"Sherfane Rutherford","","https://twitter.com/SRutherford50_","https://www.instagram.com/sherfane.r/","","","West Indies"
53855,"Kona Srikar Bharat","KS Bharat","Kona Srikar Bharat","","","1993-10-03","Visakhapatnam, Andhra Pradesh","in","[]","","wk","Right Hand Bat","","Wicket keeper",0,0,6,"","https://www.facebook.com/CircleofCricket.KonaSrikarBharat/","https://twitter.com/KonaBharat","https://www.instagram.com/konasbharat/","","","India"
55288,"Nitish Rana","N Rana","Nitish Rana","","","1993-12-27"," Delhi","in","[]","","bat","Left hand Bat","Right Arm Off Break","",0,0,9,"","https://www.facebook.com/OfficialNitishRana/","https://twitter.com/NitishRana_27","https://www.instagram.com/nitishrana_official/","","","India"
55676,"Rinku Singh","RK Singh","Rinku Singh","","","1997-10-12","Aligarh, Uttar Pradesh","in","[]","","bat","Left hand Bat","Right Arm Off Break","",0,0,7.5,"Rinku Singh","https://www.facebook.com/RinkuSinghOfficial/","https://twitter.com/rinkusingh235","https://www.instagram.com/rinkukumar12","","","India"
55705,"Venkatesh Iyer","VR Iyer","Venkatesh Iyer","","","1994-12-25","Indore","in","[]","","all","Left hand Bat","Right Arm Medium","",0,0,9,"","https://www.facebook.com/venkateshiyer.fb/","https://twitter.com/venkateshiyer","https://www.instagram.com/venky_iyer/","","","India"
90681,"Ramandeep Singh","R Singh","Ramandeep Singh","","","1997-04-13","Chandigarh","in","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,7,"","","https://twitter.com/Ramandeep__13","https://www.instagram.com/_ramandeep.singh_","","","India"
90737,"Anukul Roy","AS Roy","Anukul Roy","","","1998-11-30","Saraikela Kharswan, Jharkhand","in","[]","","all","Left hand Bat","Left Arm Orthodox","",0,0,8,"","https://www.facebook.com/AnukulRoy6/","","https://www.instagram.com/royanukul/","","","India"
90910,"Varun Chakravarthy","V Chakravarthy","Varun Chakravarthy","","","1991-08-29","Bidar, Karnataka","in","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",0,0,8.5,"","https://www.facebook.com/chakaravarthyvarun29/","https://twitter.com/chakaravarthy29","https://www.instagram.com/chakaravarthyvarun/","","","India"
93418,"Mujeeb Ur Rahman","MU Rahman","Mujeeb Ur Rahman","","","2001-03-28","Khost","af","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,8,"Mujeeb Ur Rahman","https://www.facebook.com/naveed.laghmani.35/","https://twitter.com/naveedizhar21","https://www.instagram.com/mujeeb_zadran/","","","Afghanistan"
93552,"Chetan Sakariya","C Sakariya","Chetan Sakariya","","","1998-08-20","Bhavnagar","in","[]","","bowl","Left hand Bat","Left Arm Medium Fast","",0,0,7.5,"","https://www.facebook.com/ChetanSakariya55/","https://twitter.com/Sakariya55","","","","India"
93570,"Rahmanullah Gurbaz","R Gurbaz","Rahmanullah Gurbaz","","","2001-11-28","Kabul","af","[]","","wk","Right Hand Bat","","Wicketkeeper",0,0,8.5,"Rahmanullah Gurbaz","https://www.facebook.com/RahmanullahGurbaz360/","https://twitter.com/RGurbaz_21","https://www.instagram.com/rahmanullah.gurbaz/","","","Afghanistan"
