"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
159,"Quinton de Kock","QD Kock","Quinton de Kock","","","1992-12-17","Johannesburg, Gauteng","za","[]","","wk","Left hand Bat","","wicketkeeper",0,0,9,"Quinton de Kock","https://www.facebook.com/QuintonDeKockOfficial12/","https://twitter.com/QuinnyDeKock69","https://www.instagram.com/qdk_12/","","","South Africa"
624,"Amit Mishra","A Mishra","Amit Mishra","","","1982-11-24","Delhi","in","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",0,0,8,"","","","","","","India"
641,"Deepak Hooda","D Hooda","Deepak Hooda","","","1995-04-19","","in","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,9,"Deepak Hooda","","","https://www.instagram.com/deepakhooda30/","","","India"
661,"KL Rahul","KL Rahul","KL Rahul","","","1992-04-18"," Bangalore, Karnataka","in","[]","","wk","Right Hand Bat","","Wicketkeeper ",0,0,8,"KL Rahul","https://www.facebook.com/klrahul11","https://twitter.com/klrahul11","https://www.instagram.com/klrahul","","","India"
1404,"Naveen-ul-Haq","NU Haq","Naveen-ul-Haq","","","1999-09-23","Kabul","af","[]","","bowl","Right Hand Bat","Right Arm Medium Fast","",0,0,8,"Naveen-ul-Haq","","","https://www.instagram.com/naveen_ul_haq/","","","Afghanistan"
1935,"David Willey","D Willey","David Willey","","","1990-02-28","Northampton","en","[]","","all","Left hand Bat","Left Arm Fast Medium","",18974,1517109600,7.5,"David Willey","https://www.facebook.com/DavidWilleyCricket/","https://twitter.com/david_willey","https://www.instagram.com/david_willey72/","","","England"
43482,"Marcus Stoinis","M Stoinis","Marcus Stoinis","","","1989-08-16","Perth, Australia","au","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,9,"Marcus Stoinis","https://www.facebook.com/marcusstoinisaus/","https://twitter.com/MStoinis","https://www.instagram.com/marcusstoinis/","","","Australia"
43584,"Ashton Turner","AJ Turner","Ashton Turner","","","1993-01-25","Perth","au","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"Ashton Turner","","","https://www.instagram.com/ashtonturner_70/","","","Australia"
49060,"Mark Wood","M Wood","Mark Wood","","","1990-01-11","Ashington, Northumberland","en","[]","","bowl","Right Hand Bat","Right Arm Fast","",0,0,8,"Mark Wood","https://www.facebook.com/MAWood33/","https://twitter.com/MAWood33","https://www.instagram.com/mawood33/","","","England"
50088,"Kyle Mayers","KR Mayers","Kyle Mayers","","","1992-09-08","Barbados","wi","[]","","bat","Left hand Bat","Right Arm Medium","",0,0,8,"Kyle Mayers","","https://twitter.com/kyle_mayers","https://www.instagram.com/kylemayers_71/","","","West Indies"
53715,"Nicholas Pooran","N Pooran","Nicholas Pooran","","","1995-10-02","Trinidad","wi","[]","","wk","Left hand Bat","Right Arm Off Break","Wicketkeeper",0,0,9,"Nicholas Pooran","","https://twitter.com/nicholas_47","https://www.instagram.com/nicholaspooran/","","","West Indies"
55237,"Krunal Pandya","KH Pandya","Krunal Pandya","","","1991-03-24","Ahmedabad, Gujarat","in","[]","","all","Left hand Bat","Left Arm Orthodox","",0,0,9,"","","","","","","India"
56341,"Krishnappa Gowtham","Krishnappa Gowtham","Krishnappa Gowtham","","","1988-10-20","","in","[]","","all","Right Hand Bat","Right Arm Off Break","",0,0,8.5,"","","","","","","India"
90474,"Prerak Mankad","PN Mankad","Prerak Mankad","","","1994-04-23","Sirohi, Saurashtra","in","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,8,"","","","https://www.instagram.com/prerakmankad/","","","India"
90740,"Yash Thakur","YS Thakur","Yash Thakur","","","1998-12-28","","in","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,7.5,"","","","https://www.instagram.com/yashthakur06/","","","India"
90968,"Devdutt Padikkal","D Padikkal","Devdutt Padikkal","","","2000-07-07"," Edapal, Kerala","in","[]","","bat","Left hand Bat","Right Arm Off Break","",0,0,9,"","","https://twitter.com/devdpd07","https://www.instagram.com/devpadikkal19/","","","India"
93500,"Shivam Mavi","SP Mavi","Shivam Mavi","","","1998-11-26"," Noida, Uttar Pradesh","in","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",23792,1515891600,9,"","","https://twitter.com/i/flow/login?redirect_after_login=%2Fshivammavi23%3Flang%3Den","https://www.instagram.com/shivam_mavi/","","","India"
93564,"Mohsin Khan","M Khan","Mohsin Khan","","","1998-07-15","","in","[]","","bowl","Left hand Bat","Left Arm Medium Fast","",0,0,8.5,"","","","","","","India"
