"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
115,"Rohit Sharma","R Sharma","Rohit Sharma","","","1987-04-30","Bansod, Nagpur, Maharashtra","in","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,9,"Rohit Sharma","https://www.facebook.com/RohitSharmaOfficialPage","https://twitter.com/ImRo45","https://www.instagram.com/rohitsharma45","","","India"
319,"Mohammad Nabi","M Nabi","Mohammad Nabi","","","1985-01-01","Loger, Afghanistan","af","[]","","all","Right Hand Bat","Right Arm Off Break","",0,0,8,"Mohammad Nabi","https://www.facebook.com/MohammadNabiFanpage/","https://twitter.com/MohammadNabi007","https://www.instagram.com/mohammadnabi07/","","","Afghanistan"
598,"Suryakumar Yadav","S Yadav","Suryakumar Yadav","","","1990-09-14","Mumbai, Maharashtra","in","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,9,"Suryakumar Yadav","https://www.facebook.com/suryakumaryadavskyy/","https://mobile.twitter.com/surya_14kumar","https://www.instagram.com/surya_14kumar","","","India"
600,"Piyush Chawla","PP Chawla","Piyush Chawla","","","1988-12-24","Aligarh, Uttar Pradesh","in","[]","","bowl","Left hand Bat","Right Arm Leg Spin","",0,0,8.5,"","https://www.facebook.com/ipiyushchawla/","https://twitter.com/IPiyushChawla","https://www.instagram.com/piyushchawla_official_/feed/","","","India"
607,"Jasprit Bumrah","J Bumrah","Jasprit Bumrah","","","1993-12-06","Ahmedabad","in","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",0,0,9,"Jasprit Bumrah","https://www.facebook.com/JaspritJBumrah/","https://twitter.com/Jaspritbumrah93","https://www.instagram.com/jaspritb1/","","","India"
703,"Shreyas Gopal","S Gopal","Shreyas Gopal","","","1993-09-04","","in","[]","","all","Right Hand Bat","Right Arm Leg Spin","",0,0,9,"","","","","","","India"
727,"Hardik Pandya","H Pandya","Hardik Pandya","","","1993-10-11","Choryasi, Gujarat","in","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,8,"Hardik Pandya","https://www.facebook.com/OfficialHardikPandya/","https://twitter.com/hardikpandya7","https://www.instagram.com/hardikpandya93","","","India"
1097,"Ishan Kishan","I Kishan","Ishan Kishan","","","1998-07-18","Patna, Bihar","in","[]","","wk","Left hand Bat","","Wicket keeper",0,0,8,"Ishan Kishan","https://www.facebook.com/iamishankishan/","","https://www.instagram.com/ishankishan23/","","","India"
43582,"Jason Behrendorff","JP Behrendorff","Jason Behrendorff","","","1990-04-20","Camden, New South Wales","au","[]","","bowl","Right Hand Bat","Left Arm Fast Medium","",0,0,9,"Jason Behrendorff","https://www.facebook.com/jasonbehrendorffcricketer/","https://twitter.com/JDorff5","","","","Australia"
43820,"Nuwan Thushara","N Thushara","Nuwan Thushara","","","1994-08-06","","lk","[]","","bowl","Right Hand Bat","Right Arm Medium Fast","",0,0,8.5,"","","","","","","Sri Lanka"
55261,"Vishnu Vinod","V Vinod","Vishnu Vinod","","","1993-12-02","Pathanamthitta, Kerala","in","[]","","wk","Right Hand Bat","","",0,0,8,"","","","https://www.instagram.com/vishnu_vinod4/","","","India"
60342,"Gerald Coetzee","G Coetzee","Gerald Coetzee","","","2000-10-02","Bloemfontein","za","[]","","bowl","Right Hand Bat","Right Arm Fast","",0,0,7.5,"Gerald Coetzee","","https://twitter.com/GeraldCoetzee62","https://www.instagram.com/gerald_coetzee62/","","","South Africa"
93031,"Romario Shepherd","R Shepherd","Romario Shepherd","","","1994-11-26","Guyana","wi","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,7.5,"Romario Shepherd","https://www.facebook.com/romario.shepherd.9/","https://twitter.com/DavidDejonge2","https://www.instagram.com/romarioshepherd/","","","West Indies"
93389,"Tim David","TH David","Tim David","","","1996-03-16","Singapore","au","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"Tim David","https://www.facebook.com/IamTimdavid07/","https://twitter.com/timdavid8","https://www.instagram.com/timdavid8/","","","Australia"
93534,"Shams Mulani","SZ Mulani","Shams Mulani","","","1997-03-13","Raigad, Maharashtra","in","[]","","all","Left hand Bat","Left Arm Orthodox","",0,0,8.5,"","https://www.facebook.com/shams.mulani.5/","","https://www.instagram.com/shams_mulani/","","","India"
94008,"Kumar Kartikeya","KK Kartikeya","Kumar Kartikeya","","","1997-12-26","Kuwasi, Sultanpur, Uttar Pradesh","in","[]","","bowl","Left hand Bat","Left Arm Orthodox","",0,0,8.5,"","","https://twitter.com/Imkartikeya26","https://www.instagram.com/imkksingh26/","","","India"
94190,"Nehal Wadhera","N Wadhera","Nehal Wadhera","","","2000-09-04","Ludhiana, India","in","[]","","bat","Left hand Bat","Right Arm Leg Spin","",0,0,7.5,"","","https://twitter.com/nehalwadhera?lang=en","","","","India"
94346,"Shivalik Sharma","SS Sharma","Shivalik Sharma","","","1998-11-28","","in","[]","","bat","Left hand Bat","Right Arm Leg Spin","",0,0,6.5,"","","","","","","India"
94429,"Tilak Varma","NTT Varma","Tilak Varma","","","2002-11-08","Hyderabad, Andhra Pradesh  ","in","[]","","bat","Left hand Bat","Right Arm Off Break","",0,0,7,"Tilak Varma","","https://twitter.com/TilakV9","https://www.instagram.com/tilakvarma9/","","","India"
94571,"Anshul Kamboj","A Kamboj","Anshul Kamboj","","","","","in","[]","","bowl","","","",0,0,8,"","","","","","","India"
95128,"Arjun Tendulkar","AS Tendulkar","Arjun Tendulkar","","","1999-09-24","Mumbai","in","[]","","bowl","Left hand Bat","Left Arm Medium Fast","",0,0,6.5,"","","","https://www.instagram.com/arjuntendulkar24","","","India"
95301,"Dilshan Madushanka","D Madushanka","Dilshan Madushanka","","","2000-09-18"," Hambantota","lk","[]","","bowl","Right Hand Bat","Left Arm Fast Medium","",0,0,9,"Dilshan Madushanka","https://www.facebook.com/dilshan.madushanka.5891004/","https://twitter.com/dilshanmm","https://www.instagram.com/dilslc/","","","Sri Lanka"
96437,"Akash Madhwal","A Madhwal","Akash Madhwal","","","1993-11-25","Roorkee","in","[]","","bowl","Right Hand Bat","Right Arm Medium Fast","",0,0,7.5,"","","","https://www.instagram.com/akash_madhwal_/","","","India"
110871,"Dewald Brevis","D Brevis","Dewald Brevis","","","2003-04-29","Johannesburg","za","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",0,0,7,"Dewald Brevis","https://www.facebook.com/Brevis17/","https://twitter.com/BrevisDewald","https://www.instagram.com/dewald_brevis_17/","","","South Africa"
111930,"Naman Dhir","Naman Dhir","Naman Dhir","","","1999-12-31","","in","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,5.5,"","","","","","","India"
