"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
133376,"Gopal Gc","G Gc","Gopal Gc","","","","","np","[]","","bat","","","",0,0,7,"","","","","","","Nepal"
92160,"Raj Shrestha","R Shrestha","Raj Shrestha","","","1988-06-12","","np","[]","","bat","Left hand Bat","Left Arm Medium","",0,0,8.5,"","","","","","","Nepal"
133377,"Sidhanta Khatri","S Khatri","Sidhanta Khatri","","","","","np","[]","","all","","","",0,0,8,"","","","","","","Nepal"
134401,"Suraj Patel","S Patel","Suraj Patel","","","","","np","[]","","wk","","","",0,0,7,"","","","","","","Nepal"
133378,"Jeewan Bhattarai","J Bhattarai","Jeewan Bhattarai","","","","","np","[]","","all","","","",0,0,7,"","","","","","","Nepal"
134402,"Ashab Hussain","A Hussain","Ashab Hussain","","","","","np","[]","","wk","","","",0,0,5.5,"","","","","","","Nepal"
133379,"Ramji Acharya","R Acharya","Ramji Acharya","","","","","np","[]","","bowl","","","",0,0,8,"","","","","","","Nepal"
134403,"Nasruddin Ansari","N Ansari","Nasruddin Ansari","","","","","np","[]","","bat","","","",0,0,6.5,"","","","","","","Nepal"
133380,"Uwjjwal Rayamajhi","U Rayamajhi","Uwjjwal Rayamajhi","","","","","np","[]","","bowl","","","",0,0,6.5,"","","","","","","Nepal"
134404,"Alfaz Mansuri","A Mansuri","Alfaz Mansuri","","","","","np","[]","","bowl","","","",0,0,6,"","","","","","","Nepal"
133376,"Gopal Gc","G Gc","Gopal Gc","","","","","np","[]","","bat","","","",0,0,7,"","","","","","","Nepal"
92160,"Raj Shrestha","R Shrestha","Raj Shrestha","","","1988-06-12","","np","[]","","bat","Left hand Bat","Left Arm Medium","",0,0,8.5,"","","","","","","Nepal"
133377,"Sidhanta Khatri","S Khatri","Sidhanta Khatri","","","","","np","[]","","all","","","",0,0,8,"","","","","","","Nepal"
134401,"Suraj Patel","S Patel","Suraj Patel","","","","","np","[]","","wk","","","",0,0,7,"","","","","","","Nepal"
133378,"Jeewan Bhattarai","J Bhattarai","Jeewan Bhattarai","","","","","np","[]","","all","","","",0,0,7,"","","","","","","Nepal"
134402,"Ashab Hussain","A Hussain","Ashab Hussain","","","","","np","[]","","wk","","","",0,0,5.5,"","","","","","","Nepal"
