"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
94981,"Rodney Maha","Rodney Maha","Rodney Maha","","","1979-01-20","","pg","[]","","bat","Right Hand Bat","","",0,0,7.5,"","","","","","","Papua New Guinea"
119872,"Kevau Frank","K Frank","Kevau Frank","","","","","pg","[]","","bat","","","",0,0,7.5,"","","","","","","Papua New Guinea"
44609,"Brenda Tau","B Tau","Brenda Tau","","","1998-06-17","","pg","[]","","wk","Left hand Bat","","",0,0,7,"Brenda Tau","","","","","","Papua New Guinea"
119873,"Henao Thomas","H Thomas","Henao Thomas","","","2002-03-06","","pg","[]","","all","Right Hand Bat","Right Arm Off Break","",0,0,6.5,"","","","","","","Papua New Guinea"
119874,"Hollan Doriga","H Doriga","Hollan Doriga","","","","","pg","[]","","all","","","",0,0,8,"","","","","","","Papua New Guinea"
119875,"Melanie Ani","M Ani","Melanie Ani","","","2004-12-12","","pg","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,7,"","","","","","","Papua New Guinea"
93258,"Damien Ravu","D Ravu","Damien Ravu","","","1994-05-03","","pg","[]","","bowl","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Papua New Guinea"
119882,"Geua Tom","G Tom","Geua Tom","","","1995-10-06","","pg","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,6,"","","","","","","Papua New Guinea"
90731,"Vicky Araa","V Araa","Vicky Araa","","","1996-06-26","","pg","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,6.5,"Vicky Araa","","","","","","Papua New Guinea"
49263,"Tony Ura","Tony Ura","Tony Ura","","","1989-10-15","","pg","[]","","bat","Right Hand Bat","","",0,0,8.5,"Tony Ura","","","","","","Papua New Guinea"
94981,"Rodney Maha","Rodney Maha","Rodney Maha","","","1979-01-20","","pg","[]","","bat","Right Hand Bat","","",0,0,7.5,"","","","","","","Papua New Guinea"
119872,"Kevau Frank","K Frank","Kevau Frank","","","","","pg","[]","","bat","","","",0,0,7.5,"","","","","","","Papua New Guinea"
44609,"Brenda Tau","B Tau","Brenda Tau","","","1998-06-17","","pg","[]","","wk","Left hand Bat","","",0,0,7,"Brenda Tau","","","","","","Papua New Guinea"
119873,"Henao Thomas","H Thomas","Henao Thomas","","","2002-03-06","","pg","[]","","all","Right Hand Bat","Right Arm Off Break","",0,0,6.5,"","","","","","","Papua New Guinea"
119874,"Hollan Doriga","H Doriga","Hollan Doriga","","","","","pg","[]","","all","","","",0,0,8,"","","","","","","Papua New Guinea"
119875,"Melanie Ani","M Ani","Melanie Ani","","","2004-12-12","","pg","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,7,"","","","","","","Papua New Guinea"
93258,"Damien Ravu","D Ravu","Damien Ravu","","","1994-05-03","","pg","[]","","bowl","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Papua New Guinea"
119882,"Geua Tom","G Tom","Geua Tom","","","1995-10-06","","pg","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,6,"","","","","","","Papua New Guinea"
90731,"Vicky Araa","V Araa","Vicky Araa","","","1996-06-26","","pg","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,6.5,"Vicky Araa","","","","","","Papua New Guinea"
49263,"Tony Ura","Tony Ura","Tony Ura","","","1989-10-15","","pg","[]","","bat","Right Hand Bat","","",0,0,8.5,"Tony Ura","","","","","","Papua New Guinea"
94981,"Rodney Maha","Rodney Maha","Rodney Maha","","","1979-01-20","","pg","[]","","bat","Right Hand Bat","","",0,0,7.5,"","","","","","","Papua New Guinea"
119872,"Kevau Frank","K Frank","Kevau Frank","","","","","pg","[]","","bat","","","",0,0,7.5,"","","","","","","Papua New Guinea"
44609,"Brenda Tau","B Tau","Brenda Tau","","","1998-06-17","","pg","[]","","wk","Left hand Bat","","",0,0,7,"Brenda Tau","","","","","","Papua New Guinea"
119873,"Henao Thomas","H Thomas","Henao Thomas","","","2002-03-06","","pg","[]","","all","Right Hand Bat","Right Arm Off Break","",0,0,6.5,"","","","","","","Papua New Guinea"
119874,"Hollan Doriga","H Doriga","Hollan Doriga","","","","","pg","[]","","all","","","",0,0,8,"","","","","","","Papua New Guinea"
119875,"Melanie Ani","M Ani","Melanie Ani","","","2004-12-12","","pg","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,7,"","","","","","","Papua New Guinea"
93258,"Damien Ravu","D Ravu","Damien Ravu","","","1994-05-03","","pg","[]","","bowl","Right Hand Bat","Right Arm Medium Fast","",0,0,9,"","","","","","","Papua New Guinea"
119882,"Geua Tom","G Tom","Geua Tom","","","1995-10-06","","pg","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,6,"","","","","","","Papua New Guinea"
90731,"Vicky Araa","V Araa","Vicky Araa","","","1996-06-26","","pg","[]","","bowl","Right Hand Bat","Right Arm Off Break","",0,0,6.5,"Vicky Araa","","","","","","Papua New Guinea"
49263,"Tony Ura","Tony Ura","Tony Ura","","","1989-10-15","","pg","[]","","bat","Right Hand Bat","","",0,0,8.5,"Tony Ura","","","","","","Papua New Guinea"
94981,"Rodney Maha","Rodney Maha","Rodney Maha","","","1979-01-20","","pg","[]","","bat","Right Hand Bat","","",0,0,7.5,"","","","","","","Papua New Guinea"
119872,"Kevau Frank","K Frank","Kevau Frank","","","","","pg","[]","","bat","","","",0,0,7.5,"","","","","","","Papua New Guinea"
