"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
107,"Chris Woakes","C Woakes","Chris Woakes","","","1989-03-02","Birmingham, Warwickshire","en","[]","","all","Right Hand Bat","Right Arm Fast Medium","",0,0,8,"Chris Woakes","https://www.facebook.com/chriswoakes/","https://twitter.com/chriswoakes","https://www.instagram.com/chriswoakes/","","","England"
117,"Shikhar Dhawan","S Dhawan","Shikhar Dhawan","","","1985-12-05","Delhi","in","[]","","bat","Left hand Bat","Right Arm Off Break","",0,0,9,"Shikhar Dhawan","https://www.facebook.com/shikhardhawanofficialpage/","https://twitter.com/SDhawan25","https://www.instagram.com/shikhardofficial/","","","India"
183,"Sikandar Raza","SR Butt","Sikandar Raza","","","1986-04-24","Sialkot, Punjab, Pakistan","zw","[]","","all","Right Hand Bat","Right Arm Off Break","",36249,1514287800,9,"Sikandar Raza","https://www.facebook.com/SRazaButt24/","https://twitter.com/SRazaB24","https://www.instagram.com/srazab24/","","","Zimbabwe"
430,"Rilee Rossouw","RR Rossouw","Rilee Rossouw","","","1989-10-09","Bloemfontein, Orange Free State","za","[]","","bat","Left hand Bat","Right Arm Off Break","",0,0,8.5,"Rilee Rossouw","https://www.facebook.com/RileeRossouwreal/","https://twitter.com/Rileerr","https://www.instagram.com/rr_rileerossouw/","","","South Africa"
652,"Harshal Patel","HV Patel","Harshal Patel","","","1990-11-23","","in","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,9,"Harshal Patel","https://www.facebook.com/Harshalpatel.ipl/","https://twitter.com/harshalpatel23","https://www.instagram.com/harshalvp23/","","","India"
673,"Rishi Dhawan","R Dhawan","Rishi Dhawan","","","1990-02-19","Mandi, Himachal Pradesh","in","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,8,"","","https://twitter.com/rishid100","https://www.instagram.com/rishidhawan19/","","","India"
1047,"Sam Curran","S Curran","Sam Curran","","","1998-06-03","Northampton","en","[]","","all","Left hand Bat","Left Arm Medium Fast","",0,0,9,"Sam Curran","https://www.facebook.com/CurranSM/","https://twitter.com/CurranSM","https://www.instagram.com/samcurran58/","","","England"
1953,"Kagiso Rabada","K Rabada","Kagiso Rabada","","","1995-05-25","Johannesburg","za","[]","","bowl","Left hand Bat","Right Arm Fast","",0,0,9,"Kagiso Rabada","https://www.facebook.com/KagisoRabadaOfficial/","https://twitter.com/kagisorabada25","https://www.instagram.com/rabada_25/","","","South Africa"
44100,"Jonny Bairstow","J Bairstow","Jonny Bairstow","","","1989-09-26"," Bradford, Yorkshire","en","[]","","wk","Right Hand Bat","Right Arm Medium","Wicketkeeper",0,0,7.5,"Jonny Bairstow","https://www.facebook.com/jbairstow21/","https://twitter.com/jbairstow21","https://www.instagram.com/jbairstow21/","","","England"
48347,"Shashank Singh","Shashank Singh","Shashank Singh","","","1991-11-21","","in","[]","","all","Right Hand Bat","Right Arm Off Break","",0,0,8,"","","","","","","India"
48436,"Liam Livingstone","L Livingstone","Liam Livingstone","","","1993-08-04","Barrow-in-Furness, Cumberland","en","[]","","all","Right Hand Bat","Right Arm Off Break","",0,0,8,"Liam Livingstone","https://www.facebook.com/Livingstone23era/","https://twitter.com/liaml4893","https://www.instagram.com/liaml4893/","","","England"
53789,"Harpreet Singh Bhatia","HS Bhatia","Harpreet Singh Bhatia","","","1991-08-11","Durg, Madhya Pradesh","in","[]","","bat","Left hand Bat","Right Arm Medium","",0,0,9,"","","https://twitter.com/HarpreetCricket","","","","India"
55210,"Jitesh Sharma","JM Sharma","Jitesh Sharma","","","1993-10-22","Amrawati, Maharashtra","in","[]","","wk","Right Hand Bat","","",0,0,6.5,"","","https://twitter.com/jiteshsharma_","https://www.instagram.com/jiteshsharma_/?hl=en","","","India"
90465,"Rahul Chahar","RD Chahar","Rahul Chahar","","","1999-08-04","","in","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",0,0,9,"","","https://twitter.com/rdchahar1","https://www.instagram.com/rdchahar1/","","","India"
90745,"Tanay Thyagarajan","T Thyagarajan","Tanay Thyagarajan","","","1995-11-15","Bangalore, Karnataka","in","[]","","all","Left hand Bat","Left Arm Orthodox","",0,0,8,"","","","","","","India"
93497,"Arshdeep Singh","A Singh","Arshdeep Singh","","","1999-02-05","Guna, Madhya Pradesh","in","[]","","bowl","Left hand Bat","Left Arm Medium Fast","",0,0,8.5,"Arshdeep Singh","https://www.facebook.com/arshhey/","https://twitter.com/arshdeepsinghh","https://www.instagram.com/_arshdeep.singh__","","","India"
93538,"Ashutosh Sharma","AR Sharma","Ashutosh Sharma","","","1998-09-15","","in","[]","","bat","Right Hand Bat","","",0,0,7.5,"","","","","","","India"
93904,"Vidhwath Kaverappa","Vidhwath Kaverappa","Vidhwath Kaverappa","","","1999-02-25","","in","[]","","bowl","Right Hand Bat","Right Arm Medium Fast","",0,0,8,"","","","https://www.instagram.com/vidwathkaverappa/","","","India"
94189,"Prabhsimran Singh","P Singh","Prabhsimran Singh","","","2000-08-10","Patiala, India","in","[]","","wk","Right Hand Bat","","",0,0,8.5,"","https://www.facebook.com/p/Prabhsimran-Singh-100064183208247/","https://twitter.com/prabhsimran01","https://www.instagram.com/prabhsimran_84/?hl=en","","","India"
94258,"Atharva Taide","A Taide","Atharva Taide","","","2000-04-26","Akola Maharashtra","in","[]","","bat","Left hand Bat","Left Arm Orthodox","",0,0,8,"","https://www.facebook.com/atharva.taide/","https://twitter.com/atharva_taide14","https://www.instagram.com/atharva_taide/","","","India"
94939,"Harpreet Brar","H Brar","Harpreet Brar","","","1995-09-16","Meerut, Uttar Pradesh","in","[]","","bowl","Left hand Bat","Left Arm Orthodox","",0,0,8,"","https://www.facebook.com/harpreetsbrar95/","https://twitter.com/thisisbrar","https://www.instagram.com/harpreetsbrar95/","","","India"
96089,"Nathan Ellis","N Ellis","Nathan Ellis","","","1994-09-22","Greenacre, New South Wales","au","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",0,0,8.5,"Nathan Ellis","","https://twitter.com/RealNathanellis","https://www.instagram.com/ellis106/","","","Australia"
117542,"Vishwanath Pratap Singh","VP Singh","Vishwanath Pratap Singh","","","","","in","[]","","all","","","",0,0,7.5,"","","","","","","India"
123431,"Shivam Singh","S Singh","Shivam Singh","","","1996-11-25","Kaimur, Bihar","in","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8.5,"","","","https://www.instagram.com/shivam.singh.27/","","","India"
134426,"Prince Choudhary","Prince Choudhary","Prince Choudhary","","","1999-09-29","","in","[]","","bat","","","",0,0,7.5,"","","","","","","India"
