"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
81,"Glenn Maxwell","G Maxwell","Glenn Maxwell","","","1988-10-14","Kew, Melbourne, Victoria","au","[]","","all","Right Hand Bat","Right Arm Off Break","",18974,1517109600,9,"Glenn Maxwell","https://www.facebook.com/GlennMaxwellCricket/","https://twitter.com/Gmaxi_32","https://www.instagram.com/gmaxi_32/","","","Australia"
119,"Virat Kohli","V Kohli","Virat Kohli","","","1988-11-05","Delhi","in","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,9,"Virat Kohli","https://www.facebook.com/virat.kohli","https://twitter.com/imVkohli","https://www.instagram.com/virat.kohli","","","India"
163,"Faf du Plessis","Fd Plessis","Faf du Plessis","","","1984-07-13","Pretoria","za","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",0,0,8,"Francois du Plessis","https://www.facebook.com/duPlessis.faf/","https://twitter.com/faf1307","https://www.secure.instagram.com/fafdup/","","","South Africa"
649,"Dinesh Karthik","D Karthik","Dinesh Karthik","","","1985-06-01","","in","[]","","wk","Right Hand Bat","Right Arm Off Break","",0,0,9,"","https://www.facebook.com/dineshdkkarthik/","https://twitter.com/DineshKarthik","https://www.instagram.com/dk00019/","","","India"
663,"Karn Sharma","KV Sharma","Karn Sharma","","","1987-10-23","Meerut, Uttar Pradesh","in","[]","","bowl","Left hand Bat","Right Arm Leg Spin","",0,0,9,"","https://www.facebook.com/CircleofCricket.KarnSharma/","https://twitter.com/sharmakarn03","https://www.instagram.com/karnsharma03/","","","India"
1102,"Mahipal Lomror","MK Lomror","Mahipal Lomror","","","1999-11-16","","in","[]","","bat","Left hand Bat","Left Arm Orthodox","",0,0,8.5,"","https://www.facebook.com/mahilomrorrca/","https://twitter.com/mahipallomror36","https://www.instagram.com/mahipal_lomror/","","","India"
1211,"Alzarri Joseph","AS Joseph","Alzarri Joseph","","","1996-11-20","Antigua","wi","[]","","bowl","Right Hand Bat","Right Arm Fast","",0,0,8,"Alzarri Joseph","https://www.facebook.com/AlzarriShaheimJoseph/","","https://www.instagram.com/alzarri_08/","","","West Indies"
1275,"Mayank Dagar","MJ Dagar","Mayank Dagar","","","1996-11-11","Delhi","in","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,9,"","https://www.facebook.com/MayankDagarOfficial","https://twitter.com/mayankdagarr","https://www.instagram.com/mayank.dagar/","","","India"
1937,"Reece Topley","R Topley","Reece Topley","","","1994-02-21","Ipswich, Suffolk","en","[]","","bowl","Right Hand Bat","Left Arm Fast Medium","",0,0,8,"Reece Topley","https://www.facebook.com/ReeceJamesWilliamTopley/","","https://www.instagram.com/reecejwtopley/","","","England"
16643,"Lockie Ferguson","L Ferguson","Lockie Ferguson","","","1991-06-13","Auckland","nz","[]","","bowl","Right Hand Bat","Right Arm Fast","",23991,1513980000,9,"Lockie Ferguson","https://www.facebook.com/LockieFerguson87/","","https://www.instagram.com/lockieferguson/","","","New Zealand"
43389,"Tom Curran","TK Curran","Tom Curran","","","1995-03-12","Cape Town, Cape Province","en","[]","","all","Right Hand Bat","Right Arm Fast Medium","",0,0,7,"","","https://twitter.com/tc59","https://www.instagram.com/tc59/","","","England"
53937,"Swapnil Singh","Swapnil Singh","Swapnil Singh","","","1991-01-22","","in","[]","","all","Right Hand Bat","Left Arm Orthodox","",0,0,6.5,"","","","","","","India"
56394,"Vijaykumar Vyshak","Vijaykumar Vyshak","Vijaykumar Vyshak","","","1997-01-31","","in","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,8.5,"","","","https://www.instagram.com/vyshak_vijay/","","","India"
90262,"Manoj Bhandage","M Bhandage","Manoj Bhandage","","","1998-10-05","","in","[]","","all","Left hand Bat","Right Arm Medium","",0,0,6.5,"","https://www.facebook.com/manoj.bhandage.1/","","https://www.instagram.com/manojbhandage/","","","India"
90351,"Rajat  Patidar","RM Patidar","Rajat  Patidar","","","1993-06-01"," Indore","in","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,6,"","","","","","","India"
90381,"Mohammed Siraj","M Siraj","Mohammed Siraj","","","1994-03-13","Hyderabad","in","[]","","bowl","Right Hand Bat","Right Arm Fast","",0,0,8.5,"Mohammed Siraj","https://www.facebook.com/MohammedSirajofficials/","https://twitter.com/mdsirajofficial","https://www.instagram.com/mohammedsirajofficial/","","","India"
90775,"Suyash Prabhudessai","SS Prabhudessai","Suyash Prabhudessai","","","1997-12-06","","in","[]","","bat","Right Hand Bat","","",0,0,6,"","","https://twitter.com/suyash_043","https://www.instagram.com/suyash_043/","","","India"
93130,"Cameron Green","C Green","Cameron Green","","","1999-06-03","Perth, Australia","au","[]","","all","Right Hand Bat","Right Arm Medium Fast","",0,0,7,"Cameron Green","","https://twitter.com/CameronGreen_","","","","Australia"
93352,"Anuj Rawat","A Rawat","Anuj Rawat","","","1999-10-17","","in","[]","","wk","Left hand Bat","","",0,0,7.5,"","https://www.facebook.com/anujrwt17/","https://twitter.com/AnujRawat_1755","https://www.instagram.com/anujrawat_1755","","","India"
94016,"Yash Dayal","Yash Dayal","Yash Dayal","","","1997-12-13","","in","[]","","bowl","Left hand Bat","Left Arm Medium Fast","",0,0,8,"","","","","","","India"
94088,"Shahbaz Ahmed","S Ahmed","Shahbaz Ahmed","","","1994-12-12"," Mewat, Haryana","in","[]","","all","Left hand Bat","Left Arm Orthodox","",0,0,9,"","","","","","","India"
94850,"Akash Deep","Akash Deep","Akash Deep","","","1996-12-15","Dehri, Bihar","in","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,5.5,"","","","","","","India"
97912,"Himanshu Sharma","H Sharma","Himanshu Sharma","","","1998-06-06","","in","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",0,0,6.5,"","","","","","","India"
120498,"Rajan Kumar","R Kumar","Rajan Kumar","","","1996-07-08","","in","[]","","bowl","Left hand Bat","Left Arm Medium Fast","",0,0,5,"","","","https://www.instagram.com/rajan_kumar_xx/","","","India"
133081,"Saurav Chauhan","S Chauhan","Saurav Chauhan","","","","","in","[]","","bat","","","",0,0,7.5,"","","","","","","India"
