"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
47,"Trent Boult","T Boult","Trent Boult","","","1989-07-22","Rotorua","nz","[]","","bowl","Right Hand Bat","Left Arm Fast Medium","",0,0,9,"Trent Boult","https://www.facebook.com/TrentBoultCricketer/","https://twitter.com/TrrrentBoult","https://www.instagram.com/trrrent_/","","","New Zealand"
105,"Jos Buttler","J Buttler","Jos Buttler","","","1990-09-08","Taunton, Somerset","en","[]","","wk","Right Hand Bat","","Wicket keeper",0,0,9,"Jos Buttler","https://www.facebook.com/josbuttler/","https://twitter.com/josbuttler","https://www.instagram.com/josbuttler/","","","England"
129,"Ravichandran Ashwin","R Ashwin","Ravichandran Ashwin","","","1986-09-17","Madras (now Chennai), Tamil Nadu","in","[]","","all","Right Hand Bat","Right Arm Off Break","",0,0,8,"Ravichandran Ashwin","https://www.facebook.com/AshwinRaviOfficial/","https://twitter.com/ashwinravi99?","https://www.instagram.com/rashwin99/","","","India"
637,"Sandeep Sharma","S Sharma","Sandeep Sharma","","","1993-05-18","Patiala, Punjab","in","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,9,"","https://www.facebook.com/CircleOfCricket.SandeepSharma/","https://twitter.com/sandeep25a","https://www.instagram.com/thesandeepsharma/","","","India"
638,"Sanju Samson","S Samson","Sanju Samson","","","1994-11-11","Pulluvila, Vizhinjam, Trivandrum","in","[]","","wk","Right Hand Bat","","Wicket keeper",0,0,7,"","","https://twitter.com/IamSanjuSamson","https://www.instagram.com/imsanjusamson/","","","India"
654,"Yuzvendra Chahal","YS Chahal","Yuzvendra Chahal","","","1990-07-23"," Jind, Haryana","in","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",0,0,8,"Yuzvendra Chahal","https://www.facebook.com/tossco9.yuzi23/","https://twitter.com/yuzi_chahal","https://www.instagram.com/yuzi_chahal23/","","","India"
1104,"Avesh Khan","A Khan","Avesh Khan","","","1996-12-13","Indore, Madhya Pradesh","in","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",0,0,6.5,"","https://www.facebook.com/avesh.khan.9619/","https://twitter.com/Avesh_6","","","","India"
1204,"Shimron Hetmyer","SO Hetmyer","Shimron Hetmyer","","","1996-12-26","Cumberland, Berbice, Guyana","wi","[]","","bat","Left hand Bat","","",0,0,8.5,"Shimron Hetmyer","https://www.facebook.com/shimronhetmyerclub/","https://twitter.com/SHetmyer","https://www.instagram.com/shetmyer/","","","West Indies"
1965,"Adam Zampa","A Zampa","Adam Zampa","","","1992-03-31","Shellharbour, New South Wales","au","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",18970,1515900000,9,"Adam Zampa","https://www.facebook.com/zampsbook/","https://twitter.com/AdamZampaAUS","https://www.instagram.com/zampstagram","","","Australia"
47552,"Nandre Burger","N Burger","Nandre Burger","","","1995-08-11","Krugersdorp","za","[]","","bowl","Left hand Bat","Left Arm Medium Fast","",0,0,6,"Nandre Burger","","","https://www.instagram.com/17_nandre/","","","South Africa"
48656,"Tom Kohler-Cadmore","TK Cadmore","Tom Kohler-Cadmore","","","1994-08-19"," Chatham, Kent","en","[]","","bat","Right Hand Bat","Right Arm Off Break","Wicketkeeper",0,0,7,"","https://www.facebook.com/tomkholerCadmore32/","https://twitter.com/TomKCadmore32","https://www.instagram.com/tomkcadmore","","","England"
53988,"Navdeep Saini","NA Saini","Navdeep Saini","","","1992-11-23"," Karnal, Haryana","in","[]","","bowl","Right Hand Bat","Right Arm Fast","",0,0,7.5,"","","https://twitter.com/navdeepsaini96","https://www.instagram.com/navdeep_saini10_official/","","","India"
