"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
120065,"Khaja Sunasara","K Sunasara","Khaja Sunasara","","","","","sa","[]","","bat","","","",0,0,8.5,"","","","","","","Saudi Arabia"
94467,"Sajid Cheema","Sajid Cheema","Sajid Cheema","","","","","sa","[]","","bat","","","",0,0,9.5,"","","","","","","Saudi Arabia"
120067,"Mohammad Sunasara","M Sunasara","Mohammad Sunasara","","","","","sa","[]","","bat","","","",0,0,8,"","","","","","","Saudi Arabia"
94468,"Muhammad Naeem","Muhammad Naeem","Muhammad Naeem","","","1982-09-04","","sa","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8.5,"","","","","","","Saudi Arabia"
120068,"Fahad Munir","F Munir","Fahad Munir","","","","","sa","[]","","bat","","","",0,0,8,"","","","","","","Saudi Arabia"
94469,"Muhammad Nadeem","Muhammad Nadeem","Muhammad Nadeem","","","1990-04-04","","sa","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",0,0,9,"","","","","","","Saudi Arabia"
120069,"Zuhair Zuhair","Z Zuhair","Zuhair Zuhair","","","","","sa","[]","","all","","","",0,0,9,"","","","","","","Saudi Arabia"
94470,"Faisal Khan","Faisal Khan","Faisal Khan","","","1996-11-02","","sa","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,7.5,"","","","","","","Saudi Arabia"
120070,"Hanan Nasir","H Nasir","Hanan Nasir","","","","","sa","[]","","all","","","",0,0,8,"","","","","","","Saudi Arabia"
120071,"Sashwath Prasad","S Prasad","Sashwath Prasad","","","","","sa","[]","","all","","","",0,0,8,"","","","","","","Saudi Arabia"
120065,"Khaja Sunasara","K Sunasara","Khaja Sunasara","","","","","sa","[]","","bat","","","",0,0,8.5,"","","","","","","Saudi Arabia"
94467,"Sajid Cheema","Sajid Cheema","Sajid Cheema","","","","","sa","[]","","bat","","","",0,0,9.5,"","","","","","","Saudi Arabia"
120067,"Mohammad Sunasara","M Sunasara","Mohammad Sunasara","","","","","sa","[]","","bat","","","",0,0,8,"","","","","","","Saudi Arabia"
94468,"Muhammad Naeem","Muhammad Naeem","Muhammad Naeem","","","1982-09-04","","sa","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8.5,"","","","","","","Saudi Arabia"
120068,"Fahad Munir","F Munir","Fahad Munir","","","","","sa","[]","","bat","","","",0,0,8,"","","","","","","Saudi Arabia"
94469,"Muhammad Nadeem","Muhammad Nadeem","Muhammad Nadeem","","","1990-04-04","","sa","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",0,0,9,"","","","","","","Saudi Arabia"
120069,"Zuhair Zuhair","Z Zuhair","Zuhair Zuhair","","","","","sa","[]","","all","","","",0,0,9,"","","","","","","Saudi Arabia"
94470,"Faisal Khan","Faisal Khan","Faisal Khan","","","1996-11-02","","sa","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,7.5,"","","","","","","Saudi Arabia"
120070,"Hanan Nasir","H Nasir","Hanan Nasir","","","","","sa","[]","","all","","","",0,0,8,"","","","","","","Saudi Arabia"
120071,"Sashwath Prasad","S Prasad","Sashwath Prasad","","","","","sa","[]","","all","","","",0,0,8,"","","","","","","Saudi Arabia"
120065,"Khaja Sunasara","K Sunasara","Khaja Sunasara","","","","","sa","[]","","bat","","","",0,0,8.5,"","","","","","","Saudi Arabia"
94467,"Sajid Cheema","Sajid Cheema","Sajid Cheema","","","","","sa","[]","","bat","","","",0,0,9.5,"","","","","","","Saudi Arabia"
120067,"Mohammad Sunasara","M Sunasara","Mohammad Sunasara","","","","","sa","[]","","bat","","","",0,0,8,"","","","","","","Saudi Arabia"
94468,"Muhammad Naeem","Muhammad Naeem","Muhammad Naeem","","","1982-09-04","","sa","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8.5,"","","","","","","Saudi Arabia"
120068,"Fahad Munir","F Munir","Fahad Munir","","","","","sa","[]","","bat","","","",0,0,8,"","","","","","","Saudi Arabia"
94469,"Muhammad Nadeem","Muhammad Nadeem","Muhammad Nadeem","","","1990-04-04","","sa","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",0,0,9,"","","","","","","Saudi Arabia"
120069,"Zuhair Zuhair","Z Zuhair","Zuhair Zuhair","","","","","sa","[]","","all","","","",0,0,9,"","","","","","","Saudi Arabia"
