"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
121602,"Abhijit Pednekar","A Pednekar","Abhijit Pednekar","","","","","sc","[]","","wk","","","",0,0,8.5,"","","","","","","Seychelles"
121603,"Shanmugasundram Mohan","S Mohan","Shanmugasundram Mohan","","","","","sc","[]","","wk","","","",0,0,8,"","","","","","","Seychelles"
121604,"Rashen De Silva","R D Silva","Rashen De Silva","","","","","sc","[]","","bat","","","",0,0,9,"","","","","","","Seychelles"
121605,"Thimeera Madushanka","T Madushanka","Thimeera Madushanka","","","","","sc","[]","","bat","","","",0,0,8.5,"","","","","","","Seychelles"
121606,"Mazharul Islam","M Islam","Mazharul Islam","","","","","sc","[]","","wk","","","",0,0,6,"","","","","","","Seychelles"
121607,"Santosh Pillay","S Pillay","Santosh Pillay","","","","","sc","[]","","bat","","","",0,0,8,"","","","","","","Seychelles"
121608,"Sivakumar Udhayan","S Udhayan","Sivakumar Udhayan","","","","","sc","[]","","bat","","","",0,0,8.5,"","","","","","","Seychelles"
121609,"Kelvin Deso","K Deso","Kelvin Deso","","","","","sc","[]","","all","","","",0,0,8,"","","","","","","Seychelles"
121610,"Krishna Naidoo","K Naidoo","Krishna Naidoo","","","","","sc","[]","","all","","","",0,0,8.5,"","","","","","","Seychelles"
121611,"Thiwanka Rajapaksha","T Rajapaksha","Thiwanka Rajapaksha","","","","","sc","[]","","all","","","",0,0,8.5,"","","","","","","Seychelles"
121602,"Abhijit Pednekar","A Pednekar","Abhijit Pednekar","","","","","sc","[]","","wk","","","",0,0,8.5,"","","","","","","Seychelles"
121603,"Shanmugasundram Mohan","S Mohan","Shanmugasundram Mohan","","","","","sc","[]","","wk","","","",0,0,8,"","","","","","","Seychelles"
121604,"Rashen De Silva","R D Silva","Rashen De Silva","","","","","sc","[]","","bat","","","",0,0,9,"","","","","","","Seychelles"
121605,"Thimeera Madushanka","T Madushanka","Thimeera Madushanka","","","","","sc","[]","","bat","","","",0,0,8.5,"","","","","","","Seychelles"
121606,"Mazharul Islam","M Islam","Mazharul Islam","","","","","sc","[]","","wk","","","",0,0,6,"","","","","","","Seychelles"
121607,"Santosh Pillay","S Pillay","Santosh Pillay","","","","","sc","[]","","bat","","","",0,0,8,"","","","","","","Seychelles"
121608,"Sivakumar Udhayan","S Udhayan","Sivakumar Udhayan","","","","","sc","[]","","bat","","","",0,0,8.5,"","","","","","","Seychelles"
121609,"Kelvin Deso","K Deso","Kelvin Deso","","","","","sc","[]","","all","","","",0,0,8,"","","","","","","Seychelles"
121610,"Krishna Naidoo","K Naidoo","Krishna Naidoo","","","","","sc","[]","","all","","","",0,0,8.5,"","","","","","","Seychelles"
121611,"Thiwanka Rajapaksha","T Rajapaksha","Thiwanka Rajapaksha","","","","","sc","[]","","all","","","",0,0,8.5,"","","","","","","Seychelles"
