"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
388,"Pat Cummins","P Cummins","Pat Cummins","","","1993-05-08","Westmead, Sydney","au","[]","","bowl","Right Hand Bat","Right Arm Fast","",0,0,9,"Pat Cummins","https://www.facebook.com/patcummins30","https://twitter.com/patcummins30","https://www.instagram.com/patcummins30/","","","Australia"
434,"Bhuvneshwar Kumar","B Kumar","Bhuvneshwar Kumar","","","1990-02-05","Meerut, Uttar Pradesh","in","[]","","bowl","Right Hand Bat","Right Arm Medium","",0,0,9,"Bhuvneshwar Kumar","https://www.facebook.com/KumarBhuvneshwar/","https://twitter.com/BhuviOfficial","https://www.instagram.com/imbhuvi/","","","India"
617,"Mayank Agarwal","M Agarwal","Mayank Agarwal","","","1991-02-16","","in","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8.5,"Mayank Agarwal","https://www.facebook.com/MayankIndia","https://twitter.com/mayankcricket","https://www.instagram.com/mayankagarawal/","","","India"
682,"Jaydev Unadkat","JD Unadkat","Jaydev Unadkat","","","1991-10-18","Porbandar","in","[]","","bowl","Right Hand Bat","Left Arm Medium","",0,0,9,"Jaidev Unadkat","","https://twitter.com/JUnadkat","https://www.instagram.com/jd_unadkat/","","","India"
1082,"Glenn Phillips","G Phillips","Glenn Phillips","","","1996-12-06","East London, Eastern Cape, South Africa","nz","[]","","bat","Right Hand Bat","Right Arm Off Break","Wicketkeeper",0,0,8,"Glenn Phillips","https://www.facebook.com/p/Glenn-Phillips-100064713039438/","https://twitter.com/glenndominic159","https://www.instagram.com/glennphillips236/","","","New Zealand"
1101,"Washington Sundar","W Sundar","Washington Sundar","","","1999-10-05","Chennai","in","[]","","all","Left hand Bat","Right Arm Off Break","",0,0,6.5,"Washington Sundar","https://www.facebook.com/washisundar555/","https://twitter.com/Sundarwashi5","https://www.instagram.com/washisundar555/","","","India"
1140,"Wanindu Hasaranga","PWHD Silva","Wanindu Hasaranga","","","1997-07-29","Galle","lk","[]","","all","Right Hand Bat","Right Arm Leg Spin","",37637,1516168800,9,"Wanindu Hasaranga","https://www.facebook.com/WaninduHasaranga49/","https://twitter.com/Wanindu49","https://www.instagram.com/wanindu_49_waniya","","","Sri Lanka"
1329,"Anmolpreet Singh","Anmolpreet Singh","Anmolpreet Singh","","","1998-03-28","","in","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8.5,"","","https://twitter.com/iamanmolpreet28","https://www.instagram.com/anmol_singh322/","","","India"
43471,"Travis Head","T Head","Travis Head","","","1993-12-29","Adelaide, South Australia","au","[]","","bat","Left hand Bat","Right Arm Off Break","Wicketkeeper",18970,1515900000,8,"Travis Head","https://www.facebook.com/travis.head.9849/","https://twitter.com/travishead34","https://www.instagram.com/travishead34/","","","Australia"
46117,"Aiden Markram","A Markram","Aiden Markram","","","1994-10-04","Centurion","za","[]","","bat","Right Hand Bat","Right Arm Off Break","",0,0,8,"Aiden Markram","https://www.facebook.com/people/Aiden-markram/100077438245950/","https://twitter.com/AidenMarkram","https://www.instagram.com/aidenmarkram/","","","South Africa"
46124,"Heinrich Klaasen","H Klaasen","Heinrich Klaasen","","","1991-07-30","Pretoria, Transvaal","za","[]","","wk","Right Hand Bat","Right Arm Off Break","Wicketkeeper",0,0,9,"Heinrich Klaasen","https://www.facebook.com/heinrich.klaasen.31/","https://twitter.com/Heini22","https://www.instagram.com/heinie45/","","","South Africa"
46283,"Jhatavedh Subramanyan","Jhatavedh Subramanyan","Jhatavedh Subramanyan","","","1999-09-16","","hk","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",0,0,6.5,"","","","","","","Hong Kong"
54129,"Rahul Tripathi","RA Tripathi","Rahul Tripathi","","","1991-03-02",", Ranchi","in","[]","","bat","Right Hand Bat","Right Arm Medium","",0,0,7,"","https://www.facebook.com/tripathirahul52rt","https://twitter.com/tripathirahul52","https://www.instagram.com/tripathirahul52/","","","India"
54475,"T Natarajan","T Natarajan","T Natarajan","","","1991-04-04","","in","[]","","bowl","Left hand Bat","Left Arm Medium","",0,0,8,"","https://www.facebook.com/T.Naatarajan/","https://twitter.com/Natarajan_91","https://www.instagram.com/natarajan_jayaprakash/","","","India"
60394,"Marco Jansen","M Jansen","Marco Jansen","","","2000-05-01","Klerksdorp, South Africa","za","[]","","all","Right Hand Bat","Left Arm Medium Fast","",0,0,8,"Marco Jansen","https://www.facebook.com/p/Marco-Jansen-100066755444750/","","https://www.instagram.com/marco7jansen/","","","South Africa"
62778,"Fazalhaq Farooqi","F Farooqi","Fazalhaq Farooqi","","","2000-09-22","Baghlan","af","[]","","bowl","Right Hand Bat","Left Arm Fast Medium","",0,0,7,"Fazalhaq Farooqi","https://www.facebook.com/p/Fazalhaq-Farooqi-100047245501316/","https://twitter.com/faroqioffical00","https://www.instagram.com/fazalhaqfarooqi/","","","Afghanistan"
90515,"Upendra Yadav","UD Yadav","Upendra Yadav","","","1996-10-08","","in","[]","","wk","Right Hand Bat","Right Arm Off Break","",0,0,8,"","https://www.facebook.com/yadavupendra2000/","https://twitter.com/upendradyadav","https://www.instagram.com/upendra204/","","","India"
90738,"Abhishek Sharma","Abhishek Sharma","Abhishek Sharma","","","2000-09-04","Amritsar, Punjab","in","[]","","all","Left hand Bat","Left Arm Orthodox","",23792,1515891600,9,"","https://www.facebook.com/CircleofCricket.AbhishekSharma","https://twitter.com/IamAbhiSharma4","https://www.instagram.com/abhisheksharma_4/","","","India"
93566,"Mayank Markande","M Markande","Mayank Markande","","","1997-11-11","Bathinda, Punjab","in","[]","","bowl","Right Hand Bat","Right Arm Leg Spin","",0,0,8,"","https://www.facebook.com/CircleofCricket.MayankMarkande","https://twitter.com/MarkandeMayank","https://www.instagram.com/mayank.0011/","","","India"
93567,"Sanvir Singh","S Singh","Sanvir Singh","","","1996-10-12","","in","[]","","all","Right Hand Bat","Right Arm Medium","",0,0,7.5,"","","https://twitter.com/_sanvir_singh_","https://www.instagram.com/sanvir_singh_/","","","India"
94088,"Shahbaz Ahmed","S Ahmed","Shahbaz Ahmed","","","1994-12-12"," Mewat, Haryana","in","[]","","all","Left hand Bat","Left Arm Orthodox","",0,0,9,"","","","","","","India"
94721,"Abdul Samad","Abdul Samad","Abdul Samad","","","2001-10-28","","in","[]","","bat","Right Hand Bat","Right Arm Leg Spin","",0,0,6.5,"","","https://twitter.com/ABDULSAMAD___1","https://www.instagram.com/abdulsamad/","","","India"
94825,"Nitish Kumar Reddy","Nitish Kumar Reddy","Nitish Kumar Reddy","","","2003-05-26"," Visakhapatnam","in","[]","","bowl","Right Hand Bat","Right Arm Medium Fast","",0,0,8,"","https://www.facebook.com/Cricketer8/","https://twitter.com/NitishKumarRed6","https://www.instagram.com/nitish_steyn/","","","India"
94847,"Akash Singh","AM Singh","Akash Singh","","","2002-04-26","Bharatpur, Rajasthan","in","[]","","bowl","Right Hand Bat","Left Arm Medium Fast","",0,0,7.5,"","","","","","","India"
104934,"Umran Malik","U Malik","Umran Malik","","","1999-11-22","Gujjar Nagar, Jammu & Kashmir","in","[]","","bowl","Right Hand Bat","Right Arm Fast","",0,0,6,"","https://www.facebook.com/imalikumran/","https://twitter.com/umran_malik_01","https://www.instagram.com/umran_malik_1/","","","India"
