"pid","title","short_name","first_name","last_name","middle_name","birthdate","birthplace","country","primary_team","logo_url","playing_role","batting_style","bowling_style","fielding_position","recent_match","recent_appearance","fantasy_player_rating","alt_name","facebook_profile","twitter_profile","instagram_profile","debut_data","thumb_url","nationality"
44114,"Brian Vitori","BV Vitori","Brian Vitori","","","1990-02-22","","zw","[]","","bowl","Left hand Bat","Left Arm Fast Medium","",37796,1518172200,8,"","","","","","","Zimbabwe"
93477,"Tanunurwa Makoni","TV Makoni","Tanunurwa Makoni","","","1999-11-28","Harare","zw","[]","","bat","Right Hand Bat","Right Arm Medium","",23836,1517088600,7,"","","","","","","Zimbabwe"
93584,"Donald Mlambo","D Mlambo","Donald Mlambo","","","1999-04-17","","zw","[]","","bat","Right Hand Bat","","",23820,1516829400,8,"","","","","","","Zimbabwe"
93643,"Nkosilathi Nungu","N Nungu","Nkosilathi Nungu","","","","","zw","[]","","bowl","","","",23805,1516323600,8.5,"","","","","","","Zimbabwe"
93478,"Tinashe Nenhunzi","TJ Nenhunzi","Tinashe Nenhunzi","","","1999-10-21","","zw","[]","","wk","Right Hand Bat","Right Arm Leg Spin","",23800,1516138200,8,"","","","","","","Zimbabwe"
199,"Tendai Chatara","T Chatara","Tendai Chatara","","","1991-02-28","Chimanimani","zw","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",37636,1515996000,7,"Tendai Chatara","","","https://www.instagram.com/chatara.tendai/","","","Zimbabwe"
1310,"Milton Shumba","M Shumba","Milton Shumba","","","2000-10-19","Chitungwiza","zw","[]","","all","Left hand Bat","Left Arm Orthodox","",23788,1515792600,7,"","","https://twitter.com/ShumbaMilton","","","","Zimbabwe"
93472,"Liam Roche","LN Roche","Liam Roche","","","1999-09-14","","zw","[]","","bat","Right Hand Bat","Right Arm Off Break","",23788,1515792600,8,"","","","","","","Zimbabwe"
93473,"Robert Chimhinya","RT Chimhinya","Robert Chimhinya","","","1999-06-23","","zw","[]","","bat","Right Hand Bat","Right Arm Fast","",23788,1515792600,8,"","","","","","","Zimbabwe"
93475,"Taun Harrison","TM Harrison","Taun Harrison","","","1999-04-08","","zw","[]","","all","Left hand Bat","Right Arm Off Break","",23788,1515792600,7.5,"","","","","","","Zimbabwe"
44114,"Brian Vitori","BV Vitori","Brian Vitori","","","1990-02-22","","zw","[]","","bowl","Left hand Bat","Left Arm Fast Medium","",37796,1518172200,8,"","","","","","","Zimbabwe"
93477,"Tanunurwa Makoni","TV Makoni","Tanunurwa Makoni","","","1999-11-28","Harare","zw","[]","","bat","Right Hand Bat","Right Arm Medium","",23836,1517088600,7,"","","","","","","Zimbabwe"
93584,"Donald Mlambo","D Mlambo","Donald Mlambo","","","1999-04-17","","zw","[]","","bat","Right Hand Bat","","",23820,1516829400,8,"","","","","","","Zimbabwe"
93643,"Nkosilathi Nungu","N Nungu","Nkosilathi Nungu","","","","","zw","[]","","bowl","","","",23805,1516323600,8.5,"","","","","","","Zimbabwe"
93478,"Tinashe Nenhunzi","TJ Nenhunzi","Tinashe Nenhunzi","","","1999-10-21","","zw","[]","","wk","Right Hand Bat","Right Arm Leg Spin","",23800,1516138200,8,"","","","","","","Zimbabwe"
199,"Tendai Chatara","T Chatara","Tendai Chatara","","","1991-02-28","Chimanimani","zw","[]","","bowl","Right Hand Bat","Right Arm Fast Medium","",37636,1515996000,7,"Tendai Chatara","","","https://www.instagram.com/chatara.tendai/","","","Zimbabwe"
1310,"Milton Shumba","M Shumba","Milton Shumba","","","2000-10-19","Chitungwiza","zw","[]","","all","Left hand Bat","Left Arm Orthodox","",23788,1515792600,7,"","","https://twitter.com/ShumbaMilton","","","","Zimbabwe"
93472,"Liam Roche","LN Roche","Liam Roche","","","1999-09-14","","zw","[]","","bat","Right Hand Bat","Right Arm Off Break","",23788,1515792600,8,"","","","","","","Zimbabwe"
93473,"Robert Chimhinya","RT Chimhinya","Robert Chimhinya","","","1999-06-23","","zw","[]","","bat","Right Hand Bat","Right Arm Fast","",23788,1515792600,8,"","","","","","","Zimbabwe"
93475,"Taun Harrison","TM Harrison","Taun Harrison","","","1999-04-08","","zw","[]","","all","Left hand Bat","Right Arm Off Break","",23788,1515792600,7.5,"","","","","","","Zimbabwe"
44114,"Brian Vitori","BV Vitori","Brian Vitori","","","1990-02-22","","zw","[]","","bowl","Left hand Bat","Left Arm Fast Medium","",37796,1518172200,8,"","","","","","","Zimbabwe"
93477,"Tanunurwa Makoni","TV Makoni","Tanunurwa Makoni","","","1999-11-28","Harare","zw","[]","","bat","Right Hand Bat","Right Arm Medium","",23836,1517088600,7,"","","","","","","Zimbabwe"
93584,"Donald Mlambo","D Mlambo","Donald Mlambo","","","1999-04-17","","zw","[]","","bat","Right Hand Bat","","",23820,1516829400,8,"","","","","","","Zimbabwe"
93643,"Nkosilathi Nungu","N Nungu","Nkosilathi Nungu","","","","","zw","[]","","bowl","","","",23805,1516323600,8.5,"","","","","","","Zimbabwe"
